"","Ind","TimePoint","Treatment","Tank","Mass_Corrected.x","Mass_Corrected.y","FAS","residuals"
"24","BT_3","190","20",2,123.667787238186,640.465640833533,5.17892051872803,0.102481838571404
"25","BT_3","20","15",1,144.112311596242,645.155654299522,4.47675599089027,0.00732969753863588
"26","BT_3","20","15",2,137.820234650093,735.418144814473,5.33606800686127,0.0835876299917991
"27","BT_3","20","20",1,165.539684690166,456.807893598685,2.75950684848574,-0.151218818594367
"28","BT_3","20","20",2,120.920827000473,675.119948583471,5.58315689141649,0.154829537243204
"29","BT_3","98","15",1,124.216647534238,538.337955515949,4.33386318341562,0.0432767411315221
"30","BT_3","98","15",2,118.130221268026,437.802306304019,3.70609909644279,-0.0246814281122302
"31","BT_3","98","20",1,179.105708764667,444.523439862063,2.48190547877029,-0.0758922774643745
"32","BT_3","98","20",2,145.745373894486,531.321945157084,3.64554929573093,0.0910854600028923
"33","BT_4","190","15",1,156.853976304811,711.32647306925,4.53495977486055,-0.00918399699302808
"34","BT_4","190","15",2,132.717167628413,587.172700491148,4.42424074431079,-0.0199186852094324
"35","BT_4","190","20",1,127.075973871225,569.094913049942,4.47838325147636,0.0393638495763711
"36","BT_4","190","20",2,121.380699622674,617.074451849305,5.08379383021809,0.0944305223749403
"37","BT_4","20","15",1,97.9437719744639,615.497707010831,6.28419443730741,0.15461588801918
"38","BT_4","20","15",2,141.613417578773,574.053912236434,4.05366893936525,-0.0357854486836896
"39","BT_4","20","20",1,137.564025865702,695.10974236647,5.05299069282164,0.111498203485684
"40","BT_4","20","20",2,150.138628793634,649.470966785326,4.32580856774727,0.0440170016492513
"41","BT_4","98","15",1,146.126144620471,477.006839585702,3.2643497221159,-0.0798017755576378
"42","BT_4","98","15",2,130.23846112309,738.380725960433,5.66945216945229,0.15994263996422
"43","BT_4","98","20",1,149.797684310322,429.773125253136,2.86902382524695,-0.0129433604367141
"44","BT_4","98","20",2,156.180513525652,457.912161152763,2.93194170524706,-0.00352218407884081
"45","BT_5","190","15",1,158.115625321584,530.621135762382,3.35590574734898,-0.139947681306077
"46","BT_5","190","15",2,132.408971062077,623.1446868737,4.70621198756657,0.00691404951952024
"47","BT_5","190","20",1,181.017430135374,660.544187280365,3.649063997795,-0.0495759271996241
"48","BT_5","190","20",2,171.969659927424,680.123478575072,3.95490389910698,-0.0146214723831869
"49","BT_5","20","15",1,173.06929979774,737.108359649878,4.2590358920462,-0.0143224259211476
"50","BT_5","20","15",2,154.020750604293,648.495179404922,4.21044032612867,-0.0193062093770695
"51","BT_5","20","20",1,145.20358421462,630.041091996185,4.33901887067021,0.0453412440879114
"52","BT_5","20","20",2,143.862018385182,885.705772535201,6.15663385288935,0.197293031193573
"53","BT_5","98","15",1,111.490923089826,444.09432472996,3.98323300608214,0.00663725621663636
"54","BT_5","98","15",2,128.401527197974,378.092337800137,2.9446093520148,-0.124570768677438
"55","BT_5","98","20",1,193.582501942122,509.325867694435,2.63105323355473,-0.0505478800463972
"56","BT_5","98","20",2,159.86802888173,431.305095674514,2.69788211371263,-0.039654546332956
"57","BT_6","190","15",1,159.041649063436,718.662823538128,4.51870832433005,-0.0107431270144468
"58","BT_6","190","15",2,127.779966014514,837.738323124881,6.5561006881918,0.150888178607922
"59","BT_6","190","20",1,168.04189209155,756.281366248956,4.50055255172282,0.0415084298563326
"60","BT_6","190","20",2,149.707002126226,430.946398770727,2.87859881401788,-0.152576265220975
"61","BT_6","20","15",1,201.77335788918,828.606993195932,4.10662240973869,-0.030148953169936
"62","BT_6","20","15",2,165.614601465936,773.207187833552,4.6687138754042,0.0255635328523893
"63","BT_6","20","20",1,145.844206884112,717.327095556162,4.91844764273807,0.0997777578308924
"64","BT_6","98","15",1,129.403347984535,370.737341291813,2.8649748794453,-0.136477637383131
"65","BT_6","98","15",2,113.131989516515,439.24384482533,3.88257862963871,-0.0044781959571909
"66","BT_6","98","20",1,151.435690930041,519.642320297328,3.4314388973032,0.0647987547208912
"67","BT_6","98","20",2,144.716964495321,456.224909891918,3.15253233429083,0.0279820344453302
"68","BT_7","20","15",1,161.137672690838,571.088250011374,3.54410139152919,-0.0941275880080236
"69","BT_7","20","15",2,151.952914789662,464.988259879405,3.06008121346706,-0.157900773271638
"70","BT_7","20","20",1,165.366435266228,516.772513513458,3.12501453321826,-0.0971982534015722
"71","BT_7","20","20",2,151.851876934222,290.880751377187,1.9155558512009,-0.309755475741815
"72","BT_7","98","15",1,110.646866913914,472.746846047884,4.27257327056257,0.0370910634531453
"73","BT_7","98","15",2,116.49076456632,420.861291771422,3.61282968086127,-0.0357509675753933
"74","BT_7","98","20",1,175.705885261464,478.961953365224,2.72593005437746,-0.0351628072883728
"75","BT_7","98","20",2,174.783898298433,436.660804874073,2.49828965439655,-0.0730347256833707
"76","BT_8","20","15",1,167.95959412816,549.071090481384,3.26906654741272,-0.129209964453662
"77","BT_8","20","15",2,135.878166510302,670.453792470994,4.93422754876634,0.0495854477823702
"78","BT_8","20","20",1,182.099622039381,685.275107302193,3.76318797165869,-0.0164943829003966
"79","BT_8","20","20",2,166.107503227215,591.15495175517,3.55886964929297,-0.0407382134272705
"80","BT_8","98","15",1,128.934266375324,478.160558452956,3.70856074102942,-0.0243930591989976
"81","BT_8","98","15",2,148.461590912378,409.604315116598,2.75899182138191,-0.152848042660112
"82","BT_8","98","20",1,166.460711863557,447.240257693865,2.68676165496909,-0.0414483737214536
"83","BT_8","98","20",2,172.212929563855,566.954250261017,3.29217005771217,0.0468047454779896
