"","X","Ind","Treatment","Temp","Mass","TimePoint","Tank","MMR_1minute","MR.abs","ln_Mass","ln_MR.mass","ln_MR.abs","Mass_Corrected","residuals"
"54","Ch4_MMR...56","BT_4","20",19.8006028985507,5.2,"20",2,776.847093736797,4.03960488743134,1.64865862558738,6.65524354044431,1.39614688704956,649.470966785326,0.0418154416512189
"55","Ch5_MMR...57","BT_5","20",19.5438369565217,5.3,"20",2,1057.03439914838,5.60228231548641,1.66770682055808,6.9632225294735,1.72317407104944,885.705772535201,0.176545175192723
"56","Ch6_MMR...58","BT_6","20",19.4339811594203,5.9,"20",2,550.265893937579,3.24656877423172,1.77495235091167,6.31040160492822,1.17759867685775,466.948446347207,-0.101475365247392
"57","Ch7_MMR...59","BT_7","20",19.4541891304348,7,"20",2,335.936824692411,2.35155777284688,1.94591014905531,5.81692312053612,0.855077990609299,290.880751377187,-0.307029316608949
"58","Ch8_MMR...60","BT_8","20",19.4679847826087,8.7,"20",2,665.429818680402,5.7892394225195,2.16332302566054,6.50043317574591,1.75600092242431,591.15495175517,0.000957031781365192
"59","Ch1_MMR...61","BT_1","20",18.8332875,17.4,"98",1,526.883807896455,9.16777825739832,2.85647020622048,6.26698004585758,2.21569497309593,507.966960039047,0.0207496491296713
"60","Ch2_MMR...62","BT_2","20",18.5118291666667,26.7,"98",1,585.84326897578,15.6420152816533,3.2846635654062,6.37305229471775,2.74996058114182,594.080879824479,0.0887597590363844
"61","Ch3_MMR...63","BT_3","20",18.7510916666667,32.3,"98",1,428.620528064279,13.8444430564762,3.47506723022861,6.06057197751613,2.6278839287626,444.523439862063,-0.037191149633609
"62","Ch4_MMR...64","BT_4","20",18.6505166666667,22.4,"98",1,432.687338260027,9.6921963770246,3.10906095886099,6.07001538463497,2.27132106451383,429.773125253136,-0.0518465615031678
"63","Ch5_MMR...65","BT_5","20",19.2695541666667,38.6,"98",1,480.886549606138,18.5622208147969,3.65325227647079,6.17563137868086,2.92112837616951,509.325867694435,0.0219099176995252
"64","Ch6_MMR...66","BT_6","20",18.9307041666667,20,"98",1,530.209093647556,10.6041818729511,2.99573227355399,6.27327144506121,2.36124843963306,519.642320297328,0.0306186972782601
"65","Ch7_MMR...67","BT_7","20",18.7767208333333,15.2,"98",1,504.786429777268,7.67275373261447,2.72129542785223,6.224135428491,2.03767557736109,478.961953365224,-0.00478479969175671
"66","Ch8_MMR...68","BT_8","20",18.7939791666667,21.7,"98",1,451.962954201875,9.80759610618069,3.07731226054641,6.11360021674298,2.28315719830726,447.240257693865,-0.0345449269932834
"67","Ch1_MMR...69","BT_1","20",19.2514541666667,18.4,"98",2,535.930085752508,9.86111357784615,2.91235066461494,6.28400371553425,2.28859910116705,520.106693292304,0.0310066267497695
"68","Ch2_MMR...70","BT_2","20",19.3173583333333,26.8,"98",2,447.581421835611,11.9951821051944,3.28840188751681,6.10385846940034,2.48450507793501,454.075175032477,-0.027958057007019
"69","Ch3_MMR...71","BT_3","20",19.3594743589744,16.4,"98",2,554.971113008704,9.10152625334275,2.79728133483015,6.31891606375889,2.20844211960691,531.321945157084,0.0402719378885195
"70","Ch4_MMR...72","BT_4","20",19.3045833333333,27.7,"98",2,449.607723533277,12.4541339418718,3.32143241319329,6.10837547710915,2.5220526113203,457.912161152763,-0.0243036384301614
"71","Ch5_MMR...73","BT_5","20",19.5068125,28.5,"98",2,422.062817669278,12.0287903035744,3.3499040872746,6.04515415999411,2.48730296828657,431.305095674514,-0.0503012268604803
"72","Ch6_MMR...74","BT_6","20",19.7761470588235,16.9,"98",2,474.845756432553,8.02489328371015,2.82731362192903,6.16299002800073,2.08254837094762,456.224909891918,-0.0259068219515162
"73","Ch7_MMR...75","BT_7","20",19.5831833333333,26.8,"98",2,430.416095509827,11.5351513596634,3.28840188751681,6.06475240477898,2.44539901331365,436.660804874073,-0.0449416050810285
"74","Ch8_MMR...76","BT_8","20",19.8108564814815,10.8,"98",2,622.111472734113,6.71880390552842,2.37954613413017,6.43311929329613,1.90491014844417,566.954250261017,0.0684621993699044
"75","Ch1_MMR...77","BT_1","20",19.6122090909091,96.3,"190",1,312.08039960703,30.053342482157,4.56746831880408,5.74326084566102,3.40297388548296,368.18848084416,-0.216866273020223
"76","Ch2_MMR...78","BT_2","20",19.6094958333333,104.4,"190",1,674.369589129524,70.4041851051223,4.64822967544854,6.5137783124466,4.254252708913,803.230956880833,0.12190396797675
"77","Ch3_MMR...79","BT_3","20",19.6006777777778,94.1,"190",1,672.478381071201,63.2802156588,4.54435804659133,6.51096996385324,4.14757273146244,791.220815971269,0.115361234401192
"78","Ch4_MMR...80","BT_4","20",19.5504115384615,118.4,"190",1,470.753330199391,55.7371942956079,4.7740687224499,6.15433424175417,4.02064768522194,569.094913049942,-0.0277517664387772
"79","Ch5_MMR...81","BT_5","20",19.5825928571429,96.1,"190",1,560.021516999338,53.8180677836364,4.56538931597625,6.32797520620415,3.98560924319826,660.544187280365,0.0369654051174377
"80","Ch6_MMR...82","BT_6","20",19.4896428571429,141.3,"190",1,612.675936449077,86.5711098202546,4.95088528969048,6.41783614435462,4.46096615506297,756.281366248956,0.0957469300480818
"81","Ch1_MMR...83","BT_1","20",19.39525,161.2,"190",2,455.603343817321,73.4432590233521,5.08264583007253,6.12162257091686,4.29651312200725,571.204708888573,-0.0261446910375622
"82","Ch2_MMR...84","BT_2","20",19.4793,102.9,"190",2,474.703355763978,48.8469753081133,4.63375764284,6.16269009476333,3.8886924586212,564.446933289062,-0.0313133522449927
"83","Ch3_MMR...85","BT_3","20",19.3953269230769,108.1,"190",2,535.511254312331,57.888766591163,4.68305672464516,6.28322190612323,4.05852335178625,640.465640833533,0.0235593659869373
"84","Ch4_MMR...86","BT_4","20",19.4585,113.9,"190",2,512.78104717514,58.4057612732484,4.73532087045314,6.23984894543659,4.06741453690758,617.074451849305,0.00740109605176498
"85","Ch5_MMR...87","BT_5","20",19.5349954545455,90.5,"190",2,580.720869040463,52.5552386481619,4.50534985070588,6.36427020946338,3.96186478118713,680.123478575072,0.0496512973549104
"86","Ch6_MMR...88","BT_6","20",19.6650538461538,116.6,"190",2,357.122345398716,41.6404654734903,4.75874927391639,5.87807842726805,3.72907242220231,430.946398770727,-0.14851321419553
