"","Ind","Treatment","Temp","Mass","TimePoint","Replicate","MMR_1minute","MR.abs","ln_Mass","ln_MR.mass","ln_MR.abs"
"Ch6_MMR...50","BT_6",20,19.4996623188406,6.7,0,1,832.730760051977,5.57929609234825,1.90210752639692,6.72471037269638,1.71906262011116
"Ch7_MMR...51","BT_7",20,19.5202956521739,4.9,0,1,622.472925951546,3.05011733716258,1.58923520511658,6.43370013494572,1.11518006108017
"Ch8_MMR...52","BT_8",20,19.5307297101449,6.8,0,1,794.132743020749,5.40010265254109,1.91692261218206,6.67725062991945,1.68641796311938
"Ch1_MMR...53","BT_1",20,19.7881492753623,6.6,0,2,685.864572610714,4.52670617923071,1.88706964903238,6.53068019221741,1.50999456226765
"Ch2_MMR...54","BT_2",20,19.7761826086957,4.1,0,2,806.863239310607,3.30813928117349,1.41098697371026,6.69315418589203,1.19638588062015
"Ch3_MMR...55","BT_3",20,19.7707637681159,4.9,0,2,813.208672624315,3.98472249585914,1.58923520511658,6.70098774650833,1.38246767264278
"Ch4_MMR...56","BT_4",20,19.8006028985507,5.2,0,2,776.847093736797,4.03960488743134,1.64865862558738,6.65524354044431,1.39614688704956
"Ch5_MMR...57","BT_5",20,19.5438369565217,5.3,0,2,1057.03439914838,5.60228231548641,1.66770682055808,6.9632225294735,1.72317407104944
"Ch6_MMR...58","BT_6",20,19.4339811594203,5.9,0,2,550.265893937579,3.24656877423172,1.77495235091167,6.31040160492822,1.17759867685775
"Ch7_MMR...59","BT_7",20,19.4541891304348,7,0,2,335.936824692411,2.35155777284688,1.94591014905531,5.81692312053612,0.855077990609299
"Ch8_MMR...60","BT_8",20,19.4679847826087,8.7,0,2,665.429818680402,5.7892394225195,2.16332302566054,6.50043317574591,1.75600092242431
"Ch1_MMR...61","BT_1",20,18.8332875,17.4,3,1,526.883807896455,9.16777825739832,2.85647020622048,6.26698004585758,2.21569497309593
"Ch2_MMR...62","BT_2",20,18.5118291666667,26.7,3,1,585.84326897578,15.6420152816533,3.2846635654062,6.37305229471775,2.74996058114182
"Ch3_MMR...63","BT_3",20,18.7510916666667,32.3,3,1,428.620528064279,13.8444430564762,3.47506723022861,6.06057197751613,2.6278839287626
"Ch4_MMR...64","BT_4",20,18.6505166666667,22.4,3,1,432.687338260027,9.6921963770246,3.10906095886099,6.07001538463497,2.27132106451383
"Ch5_MMR...65","BT_5",20,19.2695541666667,38.6,3,1,480.886549606138,18.5622208147969,3.65325227647079,6.17563137868086,2.92112837616951
"Ch6_MMR...66","BT_6",20,18.9307041666667,20,3,1,530.209093647556,10.6041818729511,2.99573227355399,6.27327144506121,2.36124843963306
"Ch7_MMR...67","BT_7",20,18.7767208333333,15.2,3,1,504.786429777268,7.67275373261447,2.72129542785223,6.224135428491,2.03767557736109
"Ch8_MMR...68","BT_8",20,18.7939791666667,21.7,3,1,451.962954201875,9.80759610618069,3.07731226054641,6.11360021674298,2.28315719830726
"Ch1_MMR...69","BT_1",20,19.2514541666667,18.4,3,2,535.930085752508,9.86111357784615,2.91235066461494,6.28400371553425,2.28859910116705
"Ch2_MMR...70","BT_2",20,19.3173583333333,26.8,3,2,447.581421835611,11.9951821051944,3.28840188751681,6.10385846940034,2.48450507793501
"Ch3_MMR...71","BT_3",20,19.3594743589744,16.4,3,2,554.971113008704,9.10152625334275,2.79728133483015,6.31891606375889,2.20844211960691
"Ch4_MMR...72","BT_4",20,19.3045833333333,27.7,3,2,449.607723533277,12.4541339418718,3.32143241319329,6.10837547710915,2.5220526113203
"Ch5_MMR...73","BT_5",20,19.5068125,28.5,3,2,422.062817669278,12.0287903035744,3.3499040872746,6.04515415999411,2.48730296828657
"Ch6_MMR...74","BT_6",20,19.7761470588235,16.9,3,2,474.845756432553,8.02489328371015,2.82731362192903,6.16299002800073,2.08254837094762
"Ch7_MMR...75","BT_7",20,19.5831833333333,26.8,3,2,430.416095509827,11.5351513596634,3.28840188751681,6.06475240477898,2.44539901331365
"Ch8_MMR...76","BT_8",20,19.8108564814815,10.8,3,2,622.111472734113,6.71880390552842,2.37954613413017,6.43311929329613,1.90491014844417
"Ch1_MMR...77","BT_1",20,19.6122090909091,96.3,6,1,312.08039960703,30.053342482157,4.56746831880408,5.74326084566102,3.40297388548296
"Ch2_MMR...78","BT_2",20,19.6094958333333,104.4,6,1,674.369589129524,70.4041851051223,4.64822967544854,6.5137783124466,4.254252708913
"Ch3_MMR...79","BT_3",20,19.6006777777778,94.1,6,1,672.478381071201,63.2802156588,4.54435804659133,6.51096996385324,4.14757273146244
"Ch4_MMR...80","BT_4",20,19.5504115384615,118.4,6,1,470.753330199391,55.7371942956079,4.7740687224499,6.15433424175417,4.02064768522194
"Ch5_MMR...81","BT_5",20,19.5825928571429,96.1,6,1,560.021516999338,53.8180677836364,4.56538931597625,6.32797520620415,3.98560924319826
"Ch6_MMR...82","BT_6",20,19.4896428571429,141.3,6,1,612.675936449077,86.5711098202546,4.95088528969048,6.41783614435462,4.46096615506297
"Ch1_MMR...83","BT_1",20,19.39525,161.2,6,2,455.603343817321,73.4432590233521,5.08264583007253,6.12162257091686,4.29651312200725
"Ch2_MMR...84","BT_2",20,19.4793,102.9,6,2,474.703355763978,48.8469753081133,4.63375764284,6.16269009476333,3.8886924586212
"Ch3_MMR...85","BT_3",20,19.3953269230769,108.1,6,2,535.511254312331,57.888766591163,4.68305672464516,6.28322190612323,4.05852335178625
"Ch4_MMR...86","BT_4",20,19.4585,113.9,6,2,512.78104717514,58.4057612732484,4.73532087045314,6.23984894543659,4.06741453690758
"Ch5_MMR...87","BT_5",20,19.5349954545455,90.5,6,2,580.720869040463,52.5552386481619,4.50534985070588,6.36427020946338,3.96186478118713
"Ch6_MMR...88","BT_6",20,19.6650538461538,116.6,6,2,357.122345398716,41.6404654734903,4.75874927391639,5.87807842726805,3.72907242220231
