Chamber.No	Ind	Mass	Volume	DO.unit	Temp	R2	BR	MR.abs	MR.mass		old	new	difference	% difference
CH4	BT_4	5.1	658.6	mg O2	15.12971667	0.9440661	-49.63490308	0.713735775	139.9481912					
CH4	BT_4	5.1	658.6	mg O2	15.19415	0.919261082	-55.01514788	0.584905129	114.6872803					
CH4	BT_4	5.1	658.6	mg O2	15.09693333	0.946928195	-37.96137042	0.635162238	124.5416152					
CH4	BT_4	5.1	658.6	mg O2	15.01508333	0.922556303	-17.94941963	0.980750984	192.3041144					
CH4	BT_4	5.1	658.6	mg O2	15.02883333	0.9029538	-33.62261204	0.448251906	87.89253059					
CH4	BT_4	5.1	658.6	mg O2	15.11313333	0.914975589	-26.91534911	0.51465665	100.9130686					
CH4	BT_4	5.1	658.6	mg O2	15.20046667	0.91697715	-22.97922157	0.564605147	110.7068916					
CH4	BT_4	5.1	658.6	mg O2	15.2723	0.932417549	-20.00837936	0.610905492	119.7853907					
CH4	BT_4	5.1	658.6	mg O2	15.35408333	0.929289962	-20.45661711	0.578282908	113.3888054					
CH4	BT_4	5.1	658.6	mg O2	15.42735	0.910149331	-21.99655785	0.524452951	102.8339119					
CH4	BT_4	5.1	658.6	mg O2	14.91626667	0.910236736	-19.11628847	0.543789053	106.6253044					
CH5	BT_5	4.5	657.6	mg O2	14.9812	0.924121784	-84.66504207	0.57779181	128.3981799					
CH5	BT_5	4.5	657.6	mg O2	14.7996	0.939146746	-25.18588768	0.982274707	218.2832682					
CH5	BT_5	4.5	657.6	mg O2	15.0672	0.987427275	-19.32855451	1.064285636	236.5079191					
CH5	BT_5	4.5	657.6	mg O2	14.58771667	0.987928	-18.27227303	1.034185806	229.819068					
CH5	BT_5	4.5	657.6	mg O2	14.69131667	0.98688729	-18.01912917	1.018927286	226.4282857					
CH5	BT_5	4.5	657.6	mg O2	14.78536667	0.983317645	-17.63390417	1.009735329	224.3856286					
CH5	BT_5	4.5	657.6	mg O2	14.86961667	0.984279678	-17.94255905	0.967326916	214.961537					
CH5	BT_5	4.5	657.6	mg O2	14.94706667	0.985730252	-15.70466718	1.053217479	234.0483286					
CH5	BT_5	4.5	657.6	mg O2	15.02471667	0.988302899	-15.48742191	1.034628189	229.9173754					
CH5	BT_5	4.5	657.6	mg O2	14.93503333	0.986823009	-11.68578505	1.044739741	232.1643869					
CH5	BT_5	4.5	657.6	mg O2	15.013	0.989309785	-11.53326417	1.016443306	225.8762903					
CH5	BT_5	4.5	657.6	mg O2	14.49876667	0.984228204	-11.0254284	0.973727085	216.3837966					
CH5	BT_5	4.5	657.6	mg O2	14.59531667	0.985483966	-11.12657419	0.923754808	205.2788462					
CH5	BT_5	4.5	657.6	mg O2	14.76938333	0.987630438	-9.576453189	0.962075036	213.7944523					
CH5	BT_5	4.5	657.6	mg O2	14.85278333	0.987429743	-9.210321038	0.947114421	210.4698713					
CH5	BT_5	4.5	657.6	mg O2	14.9324	0.989419643	-8.712843571	0.944161289	209.8136197					
CH5	BT_5	4.5	657.6	mg O2	15.01205	0.989109956	-8.146191111	0.948746679	210.8325954					
CH5	BT_5	4.5	657.6	mg O2	15.08891667	0.99007726	-7.659559908	0.945375717	210.0834926					
CH5	BT_5	4.5	657.6	mg O2	14.7733	0.988364784	-6.010542058	0.963782399	214.1738664					
CH5	BT_5	4.5	657.6	mg O2	14.93625	0.989068164	-5.371917825	0.906888826	201.5308502					
CH5	BT_5	4.5	657.6	mg O2	15.09338333	0.991471179	-3.825296562	1.026589349	228.1309664					
CH5	BT_5	4.5	657.6	mg O2	14.9536	0.989717757	5.411005549	0.882547041	196.1215647					
CH6	BT_6	3.6	659.2	mg O2	14.6102	0.960988797	-27.82163716	1.063438522	295.3995894					
CH6	BT_6	3.6	659.2	mg O2	14.97421667	0.954451343	-25.82442468	1.03517334	287.5481499					
CH6	BT_6	3.6	659.2	mg O2	15.0672	0.947645491	-20.61566163	1.020631625	283.5087847					
CH6	BT_6	3.6	659.2	mg O2	14.78536667	0.951285758	-16.33179382	1.073353069	298.1536303					
CH6	BT_6	3.6	659.2	mg O2	15.02471667	0.948582824	-16.5084042	0.962875084	267.4653011					
CH6	BT_6	3.6	659.2	mg O2	15.1002	0.944897395	-14.44021361	1.043583542	289.8843172					
CH6	BT_6	3.6	659.2	mg O2	14.60063333	0.9384033	-15.64129761	0.903296377	250.9156604					
CH6	BT_6	3.6	659.2	mg O2	14.85338333	0.944592254	-13.50910301	0.906804466	251.8901293					
CH6	BT_6	3.6	659.2	mg O2	15.013	0.952105166	-12.62787709	0.877791893	243.8310814					
CH6	BT_6	3.6	659.2	mg O2	14.59531667	0.953819148	-9.76043822	0.946450428	262.9028966					
CH6	BT_6	3.6	659.2	mg O2	14.68666667	0.957923965	-8.33430413	1.032235382	286.7320505					
CH6	BT_6	3.6	659.2	mg O2	14.85278333	0.954775631	-8.269538762	0.915271953	254.2422091					
CH6	BT_6	3.6	659.2	mg O2	15.01205	0.95346649	-7.529644123	0.862622514	239.617365					
CH6	BT_6	3.6	659.2	mg O2	15.08891667	0.952348619	-6.422394807	0.922189249	256.1636803					
CH6	BT_6	3.6	659.2	mg O2	14.6855	0.958974473	-5.578101022	0.873471277	242.6309102					
CH6	BT_6	3.6	659.2	mg O2	14.7733	0.948702393	-5.196499174	0.83803171	232.7865861					
CH6	BT_6	3.6	659.2	mg O2	14.85511667	0.952188629	-4.733392735	0.810832985	225.2313848					
CH6	BT_6	3.6	659.2	mg O2	15.01585	0.961574517	-3.300348106	0.849533969	235.9816581					
CH6	BT_6	3.6	659.2	mg O2	15.09338333	0.959863096	-2.745359938	0.837949235	232.7636763					
CH6	BT_6	3.6	659.2	mg O2	14.77343333	0.950922517	8.055001187	0.774981167	215.2725464					
CH6	BT_6	3.6	659.2	mg O2	14.9536	0.971119109	6.771454237	1.065593819	295.9982831					
CH6	BT_6	3.6	659.2	mg O2	15.03746667	0.955888197	9.791467765	0.756835413	210.2320592					
CH7	BT_7	4.7	654.4	mg O2	14.9126	0.940036886	-128.1214724	0.639245253	136.0096284					
CH7	BT_7	4.7	654.4	mg O2	14.9812	0.938162884	-84.15401903	0.684778157	145.6974801					
CH7	BT_7	4.7	654.4	mg O2	14.87186667	0.950227919	-64.08409078	0.668453719	142.2241956					
CH7	BT_7	4.7	654.4	mg O2	14.8882	0.989580941	-27.06881362	1.117337543	237.7313922					
CH7	BT_7	4.7	654.4	mg O2	15.013	0.988408636	-9.201530937	1.115204266	237.2775035					
CH7	BT_7	4.7	654.4	mg O2	14.68666667	0.987593529	-7.117097948	1.067409105	227.1083203					
CH7	BT_7	4.7	654.4	mg O2	14.9324	0.988310833	-5.428024308	1.041745118	221.6478975					
CH7	BT_7	4.7	654.4	mg O2	15.01205	0.986638262	-5.021405335	1.001247527	213.0313887					
CH7	BT_7	4.7	654.4	mg O2	15.08891667	0.988712341	-4.482193528	0.981622911	208.8559385					
CH7	BT_7	4.7	654.4	mg O2	14.6855	0.987510721	-3.294900913	0.958888958	204.0189272					
CH7	BT_7	4.7	654.4	mg O2	14.7733	0.986006411	-2.768478079	0.921511682	196.0663153					
CH7	BT_7	4.7	654.4	mg O2	14.85511667	0.987063728	-2.094863072	0.929027965	197.6655245					
CH7	BT_7	4.7	654.4	mg O2	14.93625	0.985727645	-1.554322259	0.869009384	184.8956136					
CH7	BT_7	4.7	654.4	mg O2	15.01585	0.98730047	-0.851538624	0.892808685	189.9592947					
CH7	BT_7	4.7	654.4	mg O2	15.09338333	0.985783262	-0.172413688	1.032067203	219.5887666					
CH7	BT_7	4.7	654.4	mg O2	14.61671667	0.972285961	4.417136766	1.083732422	230.5813665					
CH7	BT_7	4.7	654.4	mg O2	14.65335	0.987793855	5.445341843	0.969696483	206.3184007					
CH7	BT_7	4.7	654.4	mg O2	14.74995	0.988341766	6.255138787	0.92328399	196.4434022					
CH7	BT_7	4.7	654.4	mg O2	14.83736667	0.97706273	6.6792994	0.941245071	200.2649087					
CH7	BT_7	4.7	654.4	mg O2	14.86761667	0.989825395	10.28323793	0.989930447	210.6234994					
CH7	BT_7	4.7	654.4	mg O2	14.9536	0.987945389	12.15437672	0.861710448	183.3426485					
CH7	BT_7	4.7	654.4	mg O2	15.03746667	0.985313664	12.96974182	0.838706998	178.4482975					
CH8	BT_8	5.7	656.4	mg O2	14.87186667	0.978252389	-22.70862919	1.129368573	198.1348374					
CH8	BT_8	5.7	656.4	mg O2	14.976	0.956525734	-16.10542963	0.986304612	173.0358968					
CH8	BT_8	5.7	656.4	mg O2	14.6914	0.984768658	-6.936109949	1.234843126	216.639145					
CH8	BT_8	5.7	656.4	mg O2	14.7725	0.983122721	-6.378793512	1.249742133	219.2530058					
CH8	BT_8	5.7	656.4	mg O2	14.59531667	0.986641885	-3.838629202	1.190253785	208.8164535					
CH8	BT_8	5.7	656.4	mg O2	14.68666667	0.98576607	-3.391932506	1.184034959	207.7254313					
CH8	BT_8	5.7	656.4	mg O2	14.76938333	0.986488974	-2.880975214	1.203006605	211.0537904					
CH8	BT_8	5.7	656.4	mg O2	14.85278333	0.982735289	-2.39870535	1.217984346	213.6814642					
CH8	BT_8	5.7	656.4	mg O2	15.01205	0.989237846	-1.515046212	1.220745763	214.1659233					
CH8	BT_8	5.7	656.4	mg O2	15.08891667	0.987261689	-1.115459325	1.184106839	207.738042					
CH8	BT_8	5.7	656.4	mg O2	14.78963333	0.905058784	-1.172990922	0.681927403	119.6363865					
CH8	BT_8	5.7	656.4	mg O2	14.6855	0.988516641	-0.231594643	1.190122714	208.7934586					
CH8	BT_8	5.7	656.4	mg O2	14.7733	0.988218319	0.203525817	1.179961382	207.0107687					
CH8	BT_8	5.7	656.4	mg O2	14.85511667	0.988797561	0.628159091	1.196390117	209.8930029					
CH8	BT_8	5.7	656.4	mg O2	14.66548333	0.94033336	2.953109685	0.92633129	162.5142615					
CH8	BT_8	5.7	656.4	mg O2	14.6196	0.987758593	2.797833647	1.158446241	203.2361827					
CH8	BT_8	5.7	656.4	mg O2	14.70491667	0.990528303	3.067532087	1.216600593	213.4387005					
CH8	BT_8	5.7	656.4	mg O2	14.79143333	0.990363859	3.392376494	1.243256473	218.1151708					
CH8	BT_8	5.7	656.4	mg O2	14.88468333	0.991630295	3.662884619	1.283832153	225.233711					
CH8	BT_8	5.7	656.4	mg O2	14.96553333	0.988854279	4.523158111	1.139213994	199.8621042					
CH8	BT_8	5.7	656.4	mg O2	14.65335	0.991798014	6.037843842	1.16086013	203.6596719					
CH8	BT_8	5.7	656.4	mg O2	15.10175	0.988955389	8.090900179	1.140232383	200.040769					
