"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days","condition3","Date","condition4","Days_in_Exp"
"1408","0018729399",202,"SGR_1",2.70180507087725,"T2minusT1",26,"T2",2021-08-24,"Day_in_Exp_T2",20
"1409","0018729399",202,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"1410","0018729399",202,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1411","0018729399",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1412","0018729399",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1413","0018729399",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1414","0018729399",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1415","001872939A",151,"SGR_1",1.77251528947056,"T2minusT1",20,"T2",2021-08-18,"Day_in_Exp_T2",20
"1416","001872939A",151,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"1417","001872939A",151,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1418","001872939A",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1419","001872939A",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1420","001872939A",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1421","001872939A",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1422","001872939C",201,"SGR_1",2.18971486541166,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1423","001872939C",201,"SGR_2",0.797479977603688,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1424","001872939C",201,"SGR_3",0.901230169786449,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1425","001872939C",201,"SGR_4",1.07325006833972,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1426","001872939C",201,"SGR_5",1.19099291639813,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1427","001872939C",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1428","001872939C",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1429","001872939D",202,"SGR_1",1.67203794948929,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1430","001872939D",202,"SGR_2",1.45579827366875,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1431","001872939D",202,"SGR_3",1.14439828574278,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1432","001872939D",202,"SGR_4",1.40549831848638,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1433","001872939D",202,"SGR_5",1.48895508264257,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1434","001872939D",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1435","001872939D",202,"SGR_7",1.35058168592668,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1436","001872939E",201,"SGR_1",3.67973036067473,"T2minusT1",26,"T2",2021-08-24,"Day_in_Exp_T2",20
"1437","001872939E",201,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"1438","001872939E",201,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1439","001872939E",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1440","001872939E",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1441","001872939E",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1442","001872939E",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1443","00187293A0",201,"SGR_1",1.65418974355971,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1444","00187293A0",201,"SGR_2",2.09620174191694,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1445","00187293A0",201,"SGR_3",1.81162106099122,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1446","00187293A0",201,"SGR_4",1.84534707382695,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1447","00187293A0",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1448","00187293A0",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1449","00187293A0",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1450","00187293A1",152,"SGR_1",2.27491350468274,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1451","00187293A1",152,"SGR_2",2.67400766836741,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1452","00187293A1",152,"SGR_3",2.50239756087742,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1453","00187293A1",152,"SGR_4",2.40693566646135,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1454","00187293A1",152,"SGR_5",2.2521724352685,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1455","00187293A1",152,"SGR_6",1.9889173603727,"T7minusT1",195,"T7",2022-02-09,"Day_in_Exp_T7",190
"1456","00187293A1",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1457","00187293A2",202,"SGR_1",2.63701073281273,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1458","00187293A2",202,"SGR_2",2.19812194035049,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1459","00187293A2",202,"SGR_3",2.17029119114587,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1460","00187293A2",202,"SGR_4",1.83648539373664,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1461","00187293A2",202,"SGR_5",1.72102126707627,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1462","00187293A2",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1463","00187293A2",202,"SGR_7",1.15804860793856,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1464","00187293A4",152,"SGR_1",2.88254600604771,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1465","00187293A4",152,"SGR_2",2.83388024077593,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1466","00187293A4",152,"SGR_3",2.44371306077862,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1467","00187293A4",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1468","00187293A4",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1469","00187293A4",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1470","00187293A4",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1471","00187293A7",152,"SGR_1",2.53587218619478,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1472","00187293A7",152,"SGR_2",2.41846651655386,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1473","00187293A7",152,"SGR_3",2.12955489679498,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1474","00187293A7",152,"SGR_4",1.914558847723,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1475","00187293A7",152,"SGR_5",1.80237506709369,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1476","00187293A7",152,"SGR_6",1.72365841719646,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"1477","00187293A7",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1478","00187293A8",201,"SGR_1",3.04694096441689,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1479","00187293A8",201,"SGR_2",2.60835796843495,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1480","00187293A8",201,"SGR_3",2.26738909276452,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1481","00187293A8",201,"SGR_4",2.00052837161995,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1482","00187293A8",201,"SGR_5",1.60432640310038,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1483","00187293A8",201,"SGR_6",1.59005841187649,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"1484","00187293A8",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1485","00187293AA",152,"SGR_1",1.39934361411096,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1486","00187293AA",152,"SGR_2",1.78774757171385,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1487","00187293AA",152,"SGR_3",1.86572388274322,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1488","00187293AA",152,"SGR_4",1.87563143412619,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1489","00187293AA",152,"SGR_5",1.82261762915354,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1490","00187293AA",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1491","00187293AA",152,"SGR_7",1.64980607839611,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1492","00187293AC",151,"SGR_1",3.49277670798647,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1493","00187293AC",151,"SGR_2",3.41081657984659,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1494","00187293AC",151,"SGR_3",2.98677603572306,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1495","00187293AC",151,"SGR_4",2.6900087453039,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1496","00187293AC",151,"SGR_5",2.47080374231057,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1497","00187293AC",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1498","00187293AC",151,"SGR_7",1.86616220148104,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1499","00187293AD",202,"SGR_1",2.30591835952332,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1500","00187293AD",202,"SGR_2",2.29141261811758,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1501","00187293AD",202,"SGR_3",2.17779863884715,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1502","00187293AD",202,"SGR_4",2.04169046058988,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1503","00187293AD",202,"SGR_5",1.88627259196144,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1504","00187293AD",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1505","00187293AD",202,"SGR_7",1.6115566206812,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1506","00187293AE",151,"SGR_1",2.87671646959047,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1507","00187293AE",151,"SGR_2",3.0483088873114,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1508","00187293AE",151,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1509","00187293AE",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1510","00187293AE",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1511","00187293AE",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1512","00187293AE",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1513","00187293B0",202,"SGR_1",1.49870803134715,"T2minusT1",26,"T2",2021-08-24,"Day_in_Exp_T2",20
"1514","00187293B0",202,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"1515","00187293B0",202,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1516","00187293B0",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1517","00187293B0",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1518","00187293B0",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1519","00187293B0",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1520","00187293B2",152,"SGR_1",2.68317164137559,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1521","00187293B2",152,"SGR_2",2.79490555279158,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1522","00187293B2",152,"SGR_3",2.69691643666066,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1523","00187293B2",152,"SGR_4",2.40906980734177,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1524","00187293B2",152,"SGR_5",2.25074363326248,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1525","00187293B2",152,"SGR_6",2.07670858107649,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"1526","00187293B2",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1527","00187293B5",151,"SGR_1",3.42451888397004,"T2minusT1",26,"T2",2021-08-24,"Day_in_Exp_T2",20
"1528","00187293B5",151,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"1529","00187293B5",151,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1530","00187293B5",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1531","00187293B5",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1532","00187293B5",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1533","00187293B5",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1534","00187293B6",201,"SGR_1",2.56653964664324,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1535","00187293B6",201,"SGR_2",2.0541488207549,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1536","00187293B6",201,"SGR_3",2.05783729033777,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1537","00187293B6",201,"SGR_4",2.02063103539949,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1538","00187293B6",201,"SGR_5",1.83447404082107,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1539","00187293B6",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1540","00187293B6",201,"SGR_7",1.41880901921816,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1541","00187293B7",202,"SGR_1",2.00734647425913,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1542","00187293B7",202,"SGR_2",0.753409843446962,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1543","00187293B7",202,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1544","00187293B7",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1545","00187293B7",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1546","00187293B7",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1547","00187293B7",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1548","00187293BA",152,"SGR_1",2.76548730856034,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1549","00187293BA",152,"SGR_2",2.83724803509258,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1550","00187293BA",152,"SGR_3",2.24967297287626,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1551","00187293BA",152,"SGR_4",1.99404568809263,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1552","00187293BA",152,"SGR_5",1.85766299304486,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1553","00187293BA",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1554","00187293BA",152,"SGR_7",1.60235307592342,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1555","00187293BC",152,"SGR_1",3.59550769121377,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1556","00187293BC",152,"SGR_2",3.43750725541057,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1557","00187293BC",152,"SGR_3",2.91310997853038,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1558","00187293BC",152,"SGR_4",2.54852785282453,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1559","00187293BC",152,"SGR_5",2.39073366580924,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1560","00187293BC",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1561","00187293BC",152,"SGR_7",1.98704264930498,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1562","00187293BD",151,"SGR_1",NA,"T2minusT1",NA,"T2",NA,"Day_in_Exp_T2",NA
"1563","00187293BD",151,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"1564","00187293BD",151,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1565","00187293BD",151,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1566","00187293BD",151,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1567","00187293BD",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1568","00187293BD",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1569","00187293BE",201,"SGR_1",2.31342171238567,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1570","00187293BE",201,"SGR_2",2.17200540206677,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1571","00187293BE",201,"SGR_3",2.14797407275913,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1572","00187293BE",201,"SGR_4",1.96108988327817,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1573","00187293BE",201,"SGR_5",1.80028160203789,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1574","00187293BE",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1575","00187293BE",201,"SGR_7",1.46964927722899,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1576","00187293C0",202,"SGR_1",2.18971486541166,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1577","00187293C0",202,"SGR_2",1.41847157172243,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1578","00187293C0",202,"SGR_3",1.58819142100171,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1579","00187293C0",202,"SGR_4",1.59806090460659,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1580","00187293C0",202,"SGR_5",1.55261990404698,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1581","00187293C0",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1582","00187293C0",202,"SGR_7",1.33143388738812,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1583","00187293C1",202,"SGR_1",2.39167147607886,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1584","00187293C1",202,"SGR_2",1.44560321499629,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1585","00187293C1",202,"SGR_3",0.687216152915293,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1586","00187293C1",202,"SGR_4",0.684707197379875,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1587","00187293C1",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1588","00187293C1",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1589","00187293C1",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1590","00187293C2",201,"SGR_1",3.24417228350986,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1591","00187293C2",201,"SGR_2",2.80440734941896,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1592","00187293C2",201,"SGR_3",2.61773039898345,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1593","00187293C2",201,"SGR_4",2.40117002199947,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1594","00187293C2",201,"SGR_5",2.17761779960368,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1595","00187293C2",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1596","00187293C2",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1597","00187293C3",202,"SGR_1",2.28007203650009,"T2minusT1",30,"T2",2021-08-28,"Day_in_Exp_T2",20
"1598","00187293C3",202,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"1599","00187293C3",202,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"1600","00187293C3",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"1601","00187293C3",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"1602","00187293C3",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1603","00187293C3",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1604","00187293C5",151,"SGR_1",1.99629773897612,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1605","00187293C5",151,"SGR_2",2.51918201953427,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1606","00187293C5",151,"SGR_3",2.5394384172247,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1607","00187293C5",151,"SGR_4",2.40208065135765,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1608","00187293C5",151,"SGR_5",2.23551639329547,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1609","00187293C5",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1610","00187293C5",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1611","00187293C7",152,"SGR_1",3.28232075635893,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1612","00187293C7",152,"SGR_2",3.03367679137698,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1613","00187293C7",152,"SGR_3",2.70078505299047,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1614","00187293C7",152,"SGR_4",2.38371217609303,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1615","00187293C7",152,"SGR_5",2.16841869357314,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1616","00187293C7",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1617","00187293C7",152,"SGR_7",1.68190524143164,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1618","00187293CA",151,"SGR_1",2.24431930119804,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1619","00187293CA",151,"SGR_2",2.44925297907423,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1620","00187293CA",151,"SGR_3",2.2431223950375,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1621","00187293CA",151,"SGR_4",2.14052204822335,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1622","00187293CA",151,"SGR_5",2.095927304766,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1623","00187293CA",151,"SGR_6",1.97688776448945,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"1624","00187293CA",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"1625","00187293CC",151,"SGR_1",2.51213504237418,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1626","00187293CC",151,"SGR_2",2.53704964083379,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1627","00187293CC",151,"SGR_3",2.23889860134432,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1628","00187293CC",151,"SGR_4",2.03178877032164,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1629","00187293CC",151,"SGR_5",1.91716837445359,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1630","00187293CC",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"1631","00187293CC",151,"SGR_7",1.61418565537506,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"1632","00187293CE",152,"SGR_1",2.9579664321306,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"1633","00187293CE",152,"SGR_2",3.05438098625546,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"1634","00187293CE",152,"SGR_3",2.83342787783332,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"1635","00187293CE",152,"SGR_4",2.50903225979489,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"1636","00187293CE",152,"SGR_5",2.2492718059163,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1637","00187293CE",152,"SGR_6",2.03593019677166,"T7minusT1",195,"T7",2022-02-09,"Day_in_Exp_T7",190
"1638","00187293CE",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
