"","TAGNUMBER","SEX","TANK_Real","condition1","SGR","condition2","Interval_Days"
"173","00186D1685","M",201,"SGR_1",2.43265876138286,"T2minusT1",32
"170","00186D1685","M",201,"SGR_2",1.72912473094953,"T3minusT1",62
"172","00186D1685","M",201,"SGR_3",1.94091673972712,"T4minusT1",98
"174","00186D1685","M",201,"SGR_4",1.86548633149133,"T5minusT1",133
"169","00186D1685","M",201,"SGR_5",1.77533484125099,"T6minusT1",161
"171","00186D1685","M",201,"SGR_6",1.34842306880816,"T7minusT1",244
"180","00186D1687","F",202,"SGR_1",1.81427452121228,"T2minusT1",32
"178","00186D1687","F",202,"SGR_2",1.93323290933092,"T3minusT1",62
"177","00186D1687","F",202,"SGR_3",1.94598996304647,"T4minusT1",98
"179","00186D1687","F",202,"SGR_4",NA,"T5minusT1",NA
"175","00186D1687","F",202,"SGR_5",NA,"T6minusT1",NA
"176","00186D1687","F",202,"SGR_6",NA,"T7minusT1",NA
"181","00186D1688","M",151,"SGR_1",1.96445135440793,"T2minusT1",32
"183","00186D1688","M",151,"SGR_2",2.45559639746744,"T3minusT1",62
"185","00186D1688","M",151,"SGR_3",2.53174336777082,"T4minusT1",98
"182","00186D1688","M",151,"SGR_4",2.2567270057519,"T5minusT1",133
"184","00186D1688","M",151,"SGR_5",2.18045875047095,"T6minusT1",161
"186","00186D1688","M",151,"SGR_6",1.82681210050215,"T7minusT1",244
"187","00186D1689","M",202,"SGR_1",2.33176703560192,"T2minusT1",32
"188","00186D1689","M",202,"SGR_2",2.01962536270119,"T3minusT1",62
"189","00186D1689","M",202,"SGR_3",2.0960751494874,"T4minusT1",98
"190","00186D1689","M",202,"SGR_4",NA,"T5minusT1",NA
"191","00186D1689","M",202,"SGR_5",NA,"T6minusT1",NA
"192","00186D1689","M",202,"SGR_6",NA,"T7minusT1",NA
"196","00186D1690","M",151,"SGR_1",2.96849868708196,"T2minusT1",32
"195","00186D1690","M",151,"SGR_2",3.16439224705585,"T3minusT1",62
"194","00186D1690","M",151,"SGR_3",2.57239120614894,"T4minusT1",98
"198","00186D1690","M",151,"SGR_4",2.3754168532699,"T5minusT1",133
"197","00186D1690","M",151,"SGR_5",2.28675706114068,"T6minusT1",161
"193","00186D1690","M",151,"SGR_6",1.92487070106966,"T7minusT1",244
"202","00186D1695","F",151,"SGR_1",2.49453483760647,"T2minusT1",32
"203","00186D1695","F",151,"SGR_2",2.52748116930888,"T3minusT1",62
"204","00186D1695","F",151,"SGR_3",2.11146501871859,"T4minusT1",98
"199","00186D1695","F",151,"SGR_4",1.96473910137707,"T5minusT1",133
"200","00186D1695","F",151,"SGR_5",1.96659965959352,"T6minusT1",161
"201","00186D1695","F",151,"SGR_6",1.70884898200243,"T7minusT1",244
"207","00186D1696","F",201,"SGR_1",2.823414013022,"T2minusT1",32
"209","00186D1696","F",201,"SGR_2",1.9505589297542,"T3minusT1",62
"206","00186D1696","F",201,"SGR_3",1.8771262384176,"T4minusT1",98
"210","00186D1696","F",201,"SGR_4",1.76055238941757,"T5minusT1",133
"208","00186D1696","F",201,"SGR_5",1.73206247037949,"T6minusT1",161
"205","00186D1696","F",201,"SGR_6",1.35605246515365,"T7minusT1",244
"212","00186D1697","M",151,"SGR_1",2.71575423788097,"T2minusT1",32
"211","00186D1697","M",151,"SGR_2",3.00935971275973,"T3minusT1",62
"216","00186D1697","M",151,"SGR_3",2.69138661113635,"T4minusT1",98
"213","00186D1697","M",151,"SGR_4",2.44973211146466,"T5minusT1",133
"214","00186D1697","M",151,"SGR_5",2.26630409081756,"T6minusT1",161
"215","00186D1697","M",151,"SGR_6",1.82497671881092,"T7minusT1",244
"222","00186D1699","F",152,"SGR_1",2.2648854627046,"T2minusT1",32
"218","00186D1699","F",152,"SGR_2",2.73674122572782,"T3minusT1",62
"219","00186D1699","F",152,"SGR_3",2.58452304179064,"T4minusT1",98
"217","00186D1699","F",152,"SGR_4",NA,"T5minusT1",NA
"220","00186D1699","F",152,"SGR_5",NA,"T6minusT1",NA
"221","00186D1699","F",152,"SGR_6",NA,"T7minusT1",NA
"224","00186D169A","F",152,"SGR_1",2.90479818648632,"T2minusT1",32
"226","00186D169A","F",152,"SGR_2",3.15835270102758,"T3minusT1",62
"227","00186D169A","F",152,"SGR_3",2.85304379046376,"T4minusT1",98
"225","00186D169A","F",152,"SGR_4",2.4854851189724,"T5minusT1",133
"228","00186D169A","F",152,"SGR_5",2.30463881689786,"T6minusT1",161
"223","00186D169A","F",152,"SGR_6",1.91738043236367,"T7minusT1",244
"232","00186D169B","F",151,"SGR_1",3.55213757890365,"T2minusT1",32
"229","00186D169B","F",151,"SGR_2",3.39919407521758,"T3minusT1",62
"234","00186D169B","F",151,"SGR_3",2.76629371484935,"T4minusT1",98
"233","00186D169B","F",151,"SGR_4",2.68306724242848,"T5minusT1",133
"231","00186D169B","F",151,"SGR_5",2.39412825779557,"T6minusT1",161
"230","00186D169B","F",151,"SGR_6",2.01223341791834,"T7minusT1",244
"236","00186D169C","F",152,"SGR_1",2.90479818648632,"T2minusT1",32
