"","TAGNUMBER","SEX","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"83","00186D1659","M",202,"WEIGHT_3",4,"LENGTH_3",76,"T3",2021-09-29
"81","00186D1659","M",202,"WEIGHT_4",7.5,"LENGTH_4",85,"T4",2021-11-04
"80","00186D1659","M",202,"WEIGHT_5",21.9,"LENGTH_5",120,"T5",2021-12-09
"79","00186D1659","M",202,"WEIGHT_6",41.3,"LENGTH_6",148,"T6",2022-01-06
"78","00186D1659","M",202,"WEIGHT_7",85.8,"LENGTH_7",175,"T7",2022-02-04
"87","00186D165E","M",201,"WEIGHT_1",2.1,"LENGTH_1",58,"T1",2021-07-29
"89","00186D165E","M",201,"WEIGHT_2",4,"LENGTH_2",71,"T2",2021-08-30
"91","00186D165E","M",201,"WEIGHT_3",5.7,"LENGTH_3",80,"T3",2021-09-29
"85","00186D165E","M",201,"WEIGHT_4",9.4,"LENGTH_4",90,"T4",2021-11-04
"86","00186D165E","M",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"90","00186D165E","M",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"88","00186D165E","M",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"92","00186D1662","M",201,"WEIGHT_1",2,"LENGTH_1",58,"T1",2021-07-29
"96","00186D1662","M",201,"WEIGHT_2",4,"LENGTH_2",70,"T2",2021-08-30
"98","00186D1662","M",201,"WEIGHT_3",3.3,"LENGTH_3",70,"T3",2021-09-29
"94","00186D1662","M",201,"WEIGHT_4",4.5,"LENGTH_4",76,"T4",2021-11-04
"95","00186D1662","M",201,"WEIGHT_5",9.7,"LENGTH_5",93,"T5",2021-12-09
"93","00186D1662","M",201,"WEIGHT_6",17.8,"LENGTH_6",117,"T6",2022-01-06
"97","00186D1662","M",201,"WEIGHT_7",60.6,"LENGTH_7",172,"T7",2022-03-30
"103","00186D1663","F",202,"WEIGHT_1",1.5,"LENGTH_1",52,"T1",2021-07-29
"102","00186D1663","F",202,"WEIGHT_2",3.1,"LENGTH_2",65,"T2",2021-08-30
"105","00186D1663","F",202,"WEIGHT_3",4,"LENGTH_3",71,"T3",2021-09-29
"100","00186D1663","F",202,"WEIGHT_4",7.3,"LENGTH_4",84,"T4",2021-11-04
"99","00186D1663","F",202,"WEIGHT_5",12.6,"LENGTH_5",103,"T5",2021-12-09
"101","00186D1663","F",202,"WEIGHT_6",15.3,"LENGTH_6",112,"T6",2022-01-06
"104","00186D1663","F",202,"WEIGHT_7",40.3,"LENGTH_7",150,"T7",2022-03-30
"108","00186D1667","F",152,"WEIGHT_1",2.5,"LENGTH_1",61,"T1",2021-07-29
"110","00186D1667","F",152,"WEIGHT_2",6,"LENGTH_2",85,"T2",2021-08-30
"106","00186D1667","F",152,"WEIGHT_3",17.2,"LENGTH_3",116,"T3",2021-09-29
"109","00186D1667","F",152,"WEIGHT_4",32.9,"LENGTH_4",145,"T4",2021-11-04
"107","00186D1667","F",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"112","00186D1667","F",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"111","00186D1667","F",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"113","00186D166A","F",152,"WEIGHT_1",2.3,"LENGTH_1",59,"T1",2021-07-29
"118","00186D166A","F",152,"WEIGHT_2",4.6,"LENGTH_2",75,"T2",2021-08-30
"116","00186D166A","F",152,"WEIGHT_3",9.6,"LENGTH_3",95,"T3",2021-09-29
"114","00186D166A","F",152,"WEIGHT_4",15.1,"LENGTH_4",112,"T4",2021-11-04
"119","00186D166A","F",152,"WEIGHT_5",21,"LENGTH_5",125,"T5",2021-12-09
"117","00186D166A","F",152,"WEIGHT_6",27.6,"LENGTH_6",135,"T6",2022-01-06
"115","00186D166A","F",152,"WEIGHT_7",40.1,"LENGTH_7",151,"T7",2022-02-04
"126","00186D166B","F",201,"WEIGHT_1",1.7,"LENGTH_1",56,"T1",2021-07-29
"125","00186D166B","F",201,"WEIGHT_2",4.5,"LENGTH_2",75,"T2",2021-08-30
"123","00186D166B","F",201,"WEIGHT_3",7.8,"LENGTH_3",88,"T3",2021-09-29
"120","00186D166B","F",201,"WEIGHT_4",19.8,"LENGTH_4",115,"T4",2021-11-04
"122","00186D166B","F",201,"WEIGHT_5",32.5,"LENGTH_5",137,"T5",2021-12-09
"121","00186D166B","F",201,"WEIGHT_6",47.4,"LENGTH_6",153,"T6",2022-01-06
"124","00186D166B","F",201,"WEIGHT_7",55.4,"LENGTH_7",159,"T7",2022-02-04
"133","00186D166C","M",152,"WEIGHT_1",3.4,"LENGTH_1",68,"T1",2021-07-29
"129","00186D166C","M",152,"WEIGHT_2",9.6,"LENGTH_2",96,"T2",2021-08-30
"128","00186D166C","M",152,"WEIGHT_3",22.6,"LENGTH_3",128,"T3",2021-09-29
"130","00186D166C","M",152,"WEIGHT_4",49.1,"LENGTH_4",168,"T4",2021-11-04
"132","00186D166C","M",152,"WEIGHT_5",88.2,"LENGTH_5",202,"T5",2021-12-09
"127","00186D166C","M",152,"WEIGHT_6",118.5,"LENGTH_6",212,"T6",2022-01-06
"131","00186D166C","M",152,"WEIGHT_7",321,"LENGTH_7",303,"T7",2022-03-30
"134","00186D166E","F",202,"WEIGHT_1",2.6,"LENGTH_1",61,"T1",2021-07-29
"139","00186D166E","F",202,"WEIGHT_2",4.2,"LENGTH_2",71,"T2",2021-08-30
"135","00186D166E","F",202,"WEIGHT_3",4.8,"LENGTH_3",78,"T3",2021-09-29
"136","00186D166E","F",202,"WEIGHT_4",7.1,"LENGTH_4",86,"T4",2021-11-04
"138","00186D166E","F",202,"WEIGHT_5",11.2,"LENGTH_5",102,"T5",2021-12-09
"137","00186D166E","F",202,"WEIGHT_6",16.3,"LENGTH_6",115,"T6",2022-01-06
"140","00186D166E","F",202,"WEIGHT_7",37.2,"LENGTH_7",150,"T7",2022-03-30
"145","00186D166F","M",202,"WEIGHT_1",2.5,"LENGTH_1",60,"T1",2021-07-29
"142","00186D166F","M",202,"WEIGHT_2",6,"LENGTH_2",83,"T2",2021-08-30
"147","00186D166F","M",202,"WEIGHT_3",7.2,"LENGTH_3",88,"T3",2021-09-29
"146","00186D166F","M",202,"WEIGHT_4",15.7,"LENGTH_4",112,"T4",2021-11-04
"144","00186D166F","M",202,"WEIGHT_5",27.2,"LENGTH_5",135,"T5",2021-12-09
"141","00186D166F","M",202,"WEIGHT_6",35.8,"LENGTH_6",148,"T6",2022-01-06
"143","00186D166F","M",202,"WEIGHT_7",47.3,"LENGTH_7",164,"T7",2022-02-04
"151","00186D1670","F",201,"WEIGHT_1",2.3,"LENGTH_1",59,"T1",2021-07-29
"154","00186D1670","F",201,"WEIGHT_2",5.2,"LENGTH_2",75,"T2",2021-08-30
"153","00186D1670","F",201,"WEIGHT_3",10.7,"LENGTH_3",95,"T3",2021-09-29
"150","00186D1670","F",201,"WEIGHT_4",22.2,"LENGTH_4",120,"T4",2021-11-04
"148","00186D1670","F",201,"WEIGHT_5",39.6,"LENGTH_5",148,"T5",2021-12-09
"149","00186D1670","F",201,"WEIGHT_6",54.4,"LENGTH_6",157,"T6",2022-01-06
"152","00186D1670","F",201,"WEIGHT_7",105.3,"LENGTH_7",202,"T7",2022-03-30
"159","00186D1675","M",152,"WEIGHT_1",1.5,"LENGTH_1",52,"T1",2021-07-29
"160","00186D1675","M",152,"WEIGHT_2",4.2,"LENGTH_2",73,"T2",2021-08-30
"161","00186D1675","M",152,"WEIGHT_3",11.8,"LENGTH_3",102,"T3",2021-09-29
"158","00186D1675","M",152,"WEIGHT_4",27.9,"LENGTH_4",132,"T4",2021-11-04
"155","00186D1675","M",152,"WEIGHT_5",57.8,"LENGTH_5",168,"T5",2021-12-09
"157","00186D1675","M",152,"WEIGHT_6",90.4,"LENGTH_6",196,"T6",2022-01-06
"156","00186D1675","M",152,"WEIGHT_7",132.3,"LENGTH_7",216,"T7",2022-02-04
