"","TAGNUMBER","TANK_Real","T1","LENGTH_1","WEIGHT_1","T2","LENGTH_2","WEIGHT_2","T3","LENGTH_3","WEIGHT_3","T4","LENGTH_4","WEIGHT_4","T5","LENGTH_5","WEIGHT_5","T6","LENGTH_6","WEIGHT_6","T7","LENGTH_7","WEIGHT_7","DATE"
"16","00186D1646",201,2021-07-29,65,2.9,2021-08-30,82,6.8,2021-09-29,96,10.2,2021-11-04,115,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","00186D1647",202,2021-07-29,57,1.8,2021-08-30,69,3.5,2021-09-29,76,4.6,2021-11-04,85,7.3,2021-12-09,104,11.9,2022-01-06,116,17.2,NA,NA,NA,NA
"18","00186D1648",202,2021-07-29,60,2.3,2021-08-30,70,3.9,2021-09-29,73,3.7,2021-11-04,95,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","00186D1648",202,2021-07-29,60,2.3,2021-08-30,70,3.9,2021-09-29,73,3.7,2021-11-04,97,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","00186D1649",151,2021-07-29,54,1.7,2021-08-30,77,4.7,2021-09-29,96,10.5,2021-11-04,116,16,2021-12-09,134,26.4,2022-01-06,149,39.9,2022-03-30,200,86.7,2022-03-30
"21","00186D164A",201,2021-07-29,64,2.8,2021-08-30,87,7.3,2021-09-29,105,12.9,2021-11-04,125,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","00186D164A",201,2021-07-29,64,2.8,2021-08-30,87,7.3,2021-09-29,105,12.9,2021-11-04,128,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","00186D164B",201,2021-07-29,65,2.9,2021-08-30,88,8,2021-09-29,105,13.3,2021-11-04,125,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","00186D164C",151,2021-07-29,56,1.9,2021-08-30,85,6.2,2021-09-29,116,17.2,2021-11-04,151,41.2,2021-12-09,191,81.5,2022-01-06,216,114.6,2022-03-30,274,250.5,2022-03-30
"25","00186D164D",152,2021-07-29,58,2.2,2021-08-30,80,5.6,2021-09-29,107,14.5,2021-11-04,132,28.3,2021-12-09,160,48.5,2022-01-06,180,66.1,2022-03-30,240,164.3,2022-03-30
