"","TAGNUMBER","TANK_Real","T1","LENGTH_1","WEIGHT_1","T2","LENGTH_2","WEIGHT_2","T3","LENGTH_3","WEIGHT_3","T4","LENGTH_4","WEIGHT_4","T5","LENGTH_5","WEIGHT_5","T6","LENGTH_6","WEIGHT_6","T7","LENGTH_7","WEIGHT_7","DATE"
"136","00186D16AF",151,2021-07-29,59,2.2,2021-08-30,90,8.5,2021-09-29,125,22,2021-11-04,159,46.4,2021-12-09,196,97,2022-01-06,226,149.6,NA,NA,NA,NA
"137","00186D16B0",152,2021-07-29,59,2.2,2021-08-30,70,3.3,2021-09-29,84,5.7,2021-11-04,105,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","00186D16B0",152,2021-07-29,59,2.2,2021-08-30,70,3.3,2021-09-29,84,5.7,2021-11-04,107,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","00186D16B1",202,2021-07-29,57,1.9,2021-08-30,68,3.3,2021-09-29,74,4,2021-11-04,81,6,2021-12-09,117,18.6,2022-01-06,136,29.6,2022-03-30,180,68.7,2022-03-30
"140","00186D16B2",202,2021-07-29,51,1.3,2021-08-30,66,2.9,2021-09-29,75,4.4,2021-11-04,91,9.1,2021-12-09,112,17.8,2022-01-06,130,27.2,2022-03-30,170,57.8,2022-03-30
"141","00186D16B3",151,2021-07-29,61,2.7,2021-08-30,83,6.4,2021-09-29,110,15.4,2021-11-04,140,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","00186D16B3",151,2021-07-29,61,2.7,2021-08-30,83,6.4,2021-09-29,110,15.4,2021-11-04,139,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","00186D16B4",151,2021-07-29,65,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","00186D16B5",201,2021-07-29,60,2.5,2021-08-30,71,4.3,2021-09-29,79,5.7,2021-11-04,108,16.6,2021-12-09,142,39.9,2022-01-06,170,61.4,NA,NA,NA,NA
"145","00186D16B6",152,2021-07-29,64,2.8,2021-08-30,92,9.1,2021-09-29,120,20,2021-11-04,150,40.4,2021-12-09,180,70.4,2022-01-06,205,97.4,2022-03-30,277,265.6,2022-03-30
"146","00186D16B7",151,2021-07-29,57,2,2021-08-30,79,5.2,2021-09-29,109,14.2,2021-11-04,143,34.7,2021-12-09,185,77.6,2022-01-06,215,121.3,2022-03-30,282,305.2,2022-03-30
"147","00186D16B8",152,2021-07-29,57,2.2,2021-08-30,80,5.5,2021-09-29,105,13.6,2021-11-04,121,20.2,2021-12-09,143,33.9,2022-01-06,145,29.8,2022-03-30,205,114.8,2022-03-30
"148","00186D16B9",202,2021-07-29,65,2.9,2021-08-30,85,7,2021-09-29,101,11.1,2021-11-04,128,22.8,2021-12-09,158,44.1,2022-01-06,176,62.3,NA,NA,NA,NA
"149","00186D16BA",202,2021-07-29,68,3.3,2021-08-30,94,9.6,2021-09-29,112,16.4,2021-11-04,138,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","00186D16BA",202,2021-07-29,68,3.3,2021-08-30,94,9.6,2021-09-29,112,16.4,2021-11-04,135,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","00186D16BB",202,2021-07-29,58,1.8,2021-08-30,78,5.6,2021-09-29,102,12.4,2021-11-04,119,22.2,2021-12-09,146,39.7,2022-01-06,166,52.3,NA,NA,NA,NA
"152","00186D16BC",201,2021-07-29,56,2.1,2021-08-30,71,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","00186D16BD",201,2021-07-29,60,2.3,2021-08-30,76,5.2,2021-09-29,79,5.1,2021-11-04,88,8,2021-12-09,120,19.2,2022-01-06,142,32.1,NA,NA,NA,NA
"154","00186D16BE",152,2021-07-29,62,2.6,2021-08-30,89,7.3,2021-09-29,114,15.8,2021-11-04,145,35.1,2021-12-09,181,66.5,2022-01-06,209,99.1,2022-03-30,270,225.2,2022-03-30
"155","00186D16BF",152,2021-07-29,60,2.4,2021-08-30,78,4.7,2021-09-29,95,8.6,2021-11-04,115,15.2,2021-12-09,135,25.5,2022-01-06,148,32.3,2022-03-30,205,83.9,2022-03-30
"156","00186D16C0",202,2021-07-29,56,1.8,2021-08-30,69,3.8,2021-09-29,70,3.5,2021-11-04,92,9.1,2021-12-09,116,18.9,2022-01-06,130,25.9,2022-03-30,170,60.8,2022-03-30
"157","00186D16C1",152,2021-07-29,63,2.6,2021-08-30,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","00186D16C3",152,2021-07-29,65,3.2,2021-08-30,84,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","00186D16C4",152,2021-07-29,61,2.5,2021-08-30,83,6.3,2021-09-29,110,15,2021-11-04,142,34.3,2021-12-09,174,61.6,2022-01-06,194,78.9,2022-03-30,247,169.1,2022-03-30
"160","00186D16C5",202,2021-07-29,57,2.2,2021-08-30,74,4.6,2021-09-29,79,5.4,2021-11-04,105,13.5,2021-12-09,125,22.8,2022-01-06,137,32.4,2022-03-30,185,80.3,2022-03-30
"161","00186D16C6",151,2021-07-29,62,2.5,2021-08-30,85,6.8,2021-09-29,108,14.7,2021-11-04,133,27.5,2021-12-09,159,47.3,2022-01-06,185,72.4,2022-03-30,257,203.2,2022-03-30
"162","00186D16C7",201,2021-07-29,58,2.1,2021-08-30,71,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","00186D16C8",152,2021-07-29,52,1.3,2021-08-30,60,2.5,2021-09-29,70,3.7,2021-11-04,79,5.2,2021-12-09,85,6.6,2022-01-06,94,8.1,NA,NA,NA,NA
"164","00186D16C9",202,2021-07-29,60,2.5,2021-08-30,80,6.1,2021-09-29,94,9.6,2021-11-04,131,27.7,2021-12-09,161,51.7,2022-01-06,179,71.4,NA,NA,NA,NA
"165","00186D16CA",152,2021-07-29,65,2.7,2021-08-30,85,6.5,2021-09-29,115,16.3,2021-11-04,147,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","00186D16CA",152,2021-07-29,65,2.7,2021-08-30,85,6.5,2021-09-29,115,16.3,2021-11-04,144,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","00186D16CB",201,2021-07-29,53,1.5,2021-08-30,62,2.7,2021-09-29,64,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","00186D16CC",151,2021-07-29,51,1.5,2021-08-30,70,3.8,2021-09-29,94,10.2,2021-11-04,117,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","00186D16CC",151,2021-07-29,51,1.5,2021-08-30,70,3.8,2021-09-29,94,10.2,2021-11-04,115,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","00186D16CD",152,2021-07-29,67,3.8,2021-08-30,92,8.7,2021-09-29,125,22.1,2021-11-04,160,51.7,2021-12-09,200,96.8,2022-01-06,219,122.3,2022-03-30,260,224.9,2022-03-30
"171","00186D16CE",202,2021-07-29,55,1.6,2021-08-30,74,4.9,2021-09-29,85,7.3,2021-11-04,116,17.9,2021-12-09,144,35.7,2022-01-06,166,56.2,2022-03-30,210,124.9,2022-03-30
"172","00186D16CF",201,2021-07-29,62,2.7,2021-08-30,70,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","00186D16D0",202,2021-07-29,54,1.7,2021-08-30,66,3.3,2021-09-29,74,4.7,2021-11-04,97,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","00186D16D0",202,2021-07-29,54,1.7,2021-08-30,66,3.3,2021-09-29,74,4.7,2021-11-04,95,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","00186D16D1",201,2021-07-29,65,3.2,2021-08-30,84,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","00186D16D2",201,2021-07-29,63,2.7,2021-08-30,83,6.1,2021-09-29,94,9.3,2021-11-04,115,19.4,2021-12-09,140,37.5,2022-01-06,158,50.7,2022-03-30,213,130.4,2022-03-30
"177","00186D16D3",201,2021-07-29,63,2.8,2021-08-30,75,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","00186D16D4",152,2021-07-29,60,2.5,2021-08-30,90,8.3,2021-09-29,125,22,2021-11-04,155,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","00186D16D5",202,2021-07-29,54,1.6,2021-08-30,66,3.1,2021-09-29,74,4.5,2021-11-04,95,10.1,2021-12-09,110,15.2,2022-01-06,118,19.2,2022-03-30,170,57,2022-03-30
"180","00186D16D6",152,2021-07-29,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","00186D16D6",201,2021-07-29,56,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","00186D16D7",202,2021-07-29,59,2.3,2021-08-30,75,5.3,2021-09-29,85,7.4,2021-11-04,112,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","00186D16D7",202,2021-07-29,59,2.3,2021-08-30,75,5.3,2021-09-29,85,7.4,2021-11-04,117,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","00186D16D8",151,2021-07-29,72,4.3,2021-08-30,85,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","00186D16D9",202,2021-07-29,60,2.3,2021-08-30,80,5.6,2021-09-29,92,8.8,2021-11-04,115,19.2,2021-12-09,135,33.2,2022-01-06,149,41.6,2022-03-30,170,55,2022-03-30
"186","00186D16DA",202,2021-07-29,51,1.3,2021-08-30,63,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","00186D16DB",152,2021-07-29,53,1.6,2021-08-30,76,4.8,2021-09-29,99,14.4,2021-11-04,140,29.6,2021-12-09,175,63.4,2022-01-06,201,92.4,NA,NA,NA,NA
"188","00186D16DC",202,2021-07-29,65,2.8,2021-08-30,81,6.5,2021-09-29,88,7.8,2021-11-04,103,13.4,2021-12-09,125,22.9,2022-01-06,136,29.5,2022-03-30,172,65.3,2022-03-30
"189","00186D16DD",151,2021-07-29,56,1.7,2021-08-30,79,5.3,2021-09-29,105,13.9,2021-11-04,130,26.7,2021-12-09,164,51.7,2022-01-06,187,78.7,2022-03-30,267,243.3,2022-03-30
"190","00186D16DE",201,2021-07-29,59,2.3,2021-08-30,72,4.9,2021-09-29,85,7.3,2021-11-04,95,11.5,2021-12-09,125,27.5,2022-01-06,137,32.7,2022-03-30,170,66.5,2022-03-30
"191","00186D16DF",202,2021-07-29,62,2.4,2021-08-30,79,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","00186D16E0",201,2021-07-29,55,1.9,2021-08-30,70,3.8,2021-09-29,85,6.7,2021-11-04,112,16.4,2021-12-09,150,41.2,2022-01-06,170,65.5,NA,NA,NA,NA
"193","00186D16E1",152,2021-07-29,54,1.6,2021-08-30,73,3.9,2021-09-29,91,8.5,2021-11-04,115,16.7,2021-12-09,135,29.2,2022-01-06,164,46.8,2022-03-30,233,138.8,2022-03-30
"194","00186D16E2",151,2021-07-29,63,2.7,2021-08-30,88,7.9,2021-09-29,119,21.2,2021-11-04,154,49.4,2021-12-09,188,95.9,2022-01-06,215,144.3,2022-03-30,285,382.5,2022-03-30
"195","00186D16E3",201,2021-07-29,57,2,2021-08-30,73,4.5,2021-09-29,82,6.5,2021-11-04,90,8.8,2021-12-09,130,26.6,2022-01-06,159,46.6,2022-03-30,195,89,2022-03-30
"196","00186D16E4",202,2021-07-29,61,3,2021-08-30,85,6.9,2021-09-29,86,6.8,2021-11-04,115,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","00186D16E5",201,2021-07-29,64,2.6,2021-08-30,76,4.3,2021-09-29,93,8.1,2021-11-04,110,14.3,2021-12-09,135,28.7,2022-01-06,154,41.9,2022-03-30,193,80.7,2022-03-30
"198","00186D16E6",151,2021-07-29,60,2.6,2021-08-30,88,7.5,2021-09-29,125,22.1,2021-11-04,165,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","00186D16E6",151,2021-07-29,60,2.6,2021-08-30,88,7.5,2021-09-29,125,22.1,2021-11-04,115,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","00186D16E6",151,2021-07-29,60,2.6,2021-08-30,88,7.5,2021-09-29,125,22.1,2021-11-04,168,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","00186D16E7",201,2021-07-29,59,2.4,2021-08-30,75,5,2021-09-29,79,0,2021-11-04,97,11.6,2021-12-09,120,20.6,2022-01-06,130,28.8,2022-03-30,155,51.2,2022-03-30
"202","00186D16E8",202,2021-07-29,57,2.1,2021-08-30,74,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","00186D16E9",201,2021-07-29,60,2.3,2021-08-30,84,6.3,2021-09-29,109,13,2021-11-04,135,29,2021-12-09,171,58.8,2022-01-06,185,72.3,2022-03-30,216,112.6,2022-03-30
"204","00186D16EA",201,2021-07-29,59,2.2,2021-08-30,73,4.2,2021-09-29,84,6.3,2021-11-04,109,14.7,2021-12-09,141,32.5,2022-01-06,164,51.3,2022-03-30,205,106.1,2022-03-30
"205","00186D16EB",201,2021-07-29,56,1.9,2021-08-30,71,4.4,2021-09-29,85,7,2021-11-04,106,15.1,2021-12-09,132,28,2022-01-06,150,38.3,2022-03-30,166,55.6,2022-03-30
"206","00186D16EC",151,2021-07-29,58,1.8,2021-08-30,75,4,2021-09-29,100,10,2021-11-04,136,24.3,2021-12-09,168,47.2,2022-01-06,188,66.3,2022-03-30,242,130.2,2022-03-30
"207","00186D16ED",202,2021-07-29,57,1.9,2021-08-30,60,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","00186D16EE",201,2021-07-29,69,3.7,2021-08-30,91,8.7,2021-09-29,120,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","00186D16EF",152,2021-07-29,51,1.2,2021-08-30,67,3.2,2021-09-29,91,8.3,2021-11-04,114,15.1,2021-12-09,136,25.7,2022-01-06,163,41.5,2022-03-30,233,141.1,2022-03-30
"210","00186D16F0",201,2021-07-29,63,2.9,2021-08-30,87,7.7,2021-09-29,111,16,2021-11-04,140,34.4,2021-12-09,166,49.5,2022-01-06,171,53.3,2022-03-30,200,102.5,2022-03-30
"211","00186D16F1",201,2021-07-29,55,1.6,2021-08-30,70,3.5,2021-09-29,82,5.7,2021-11-04,105,12,2021-12-09,121,19.7,NA,NA,NA,NA,NA,NA,NA
"212","00186D16F2",152,2021-07-29,63,2.7,2021-08-30,80,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","00186D16F3",152,2021-07-29,58,2.2,2021-08-30,72,4.1,2021-09-29,97,10.3,2021-11-04,131,26.6,2021-12-09,172,62.3,2022-01-06,198,96.7,2022-03-30,260,234.8,2022-03-30
"214","00186D16F4",151,2021-07-29,55,1.8,2021-08-30,79,4.9,2021-09-29,108,13.8,2021-11-04,148,36.7,2021-12-09,186,71.5,2022-01-06,216,111.7,2022-03-30,286,252.2,2022-03-30
"215","00186D16F5",151,2021-07-29,58,1.8,2021-08-30,76,5,2021-09-29,101,11.7,2021-11-04,119,21.1,2021-12-09,143,33.3,2022-01-06,155,47.6,NA,NA,NA,NA
"216","00186D16F6",151,2021-07-29,55,1.9,2021-08-30,75,4.7,2021-09-29,104,13,2021-11-04,139,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","00186D16F6",151,2021-07-29,55,1.9,2021-08-30,75,4.7,2021-09-29,104,13,2021-11-04,136,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","00186D16F7",151,2021-07-29,58,2.1,2021-08-30,71,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","00186D16F8",202,2021-07-29,49,1.3,2021-08-30,62,2.8,2021-09-29,60,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","00186D16F9",151,2021-07-29,63,2.8,2021-08-30,88,6.8,2021-09-29,110,14.4,2021-11-04,134,25.9,2021-12-09,160,44.9,2022-01-06,186,72,2022-03-30,240,165.4,2022-03-30
"221","00186D16FA",152,2021-07-29,57,2,2021-08-30,79,5.4,2021-09-29,105,13.3,2021-11-04,132,26.9,2021-12-09,160,49,2022-01-06,181,72.5,2022-03-30,243,169.9,2022-03-30
"222","00186D16FB",202,2021-07-29,62,2.7,2021-08-30,78,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","00186D16FC",151,2021-07-29,53,1.7,2021-08-30,72,4.1,2021-09-29,95,10.2,2021-11-04,120,20.2,2021-12-09,150,41.4,2022-01-06,184,75.3,NA,NA,NA,NA
"224","00186D16FD",202,2021-07-29,59,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","00186D16FE",152,2021-07-29,55,1.7,2021-08-30,70,3.3,2021-09-29,91,8.3,2021-11-04,114,15.8,2021-12-09,135,28,2022-01-06,157,42.9,2022-03-30,226,130.6,2022-03-30
"226","00186D16FF",201,2021-07-29,57,1.8,2021-08-30,71,3.9,2021-09-29,85,7,2021-11-04,105,16.1,2021-12-09,129,29.6,2022-01-06,145,41.6,2022-03-30,190,101.9,2022-03-30
"227","00186D1700",151,2021-07-29,54,1.6,2021-08-30,72,4.1,2021-09-29,104,11.7,2021-11-04,136,29.8,2021-12-09,170,59.4,2022-01-06,200,91.8,2022-03-30,270,241.2,2022-03-30
"228","00186D1701",152,2021-07-29,63,2.9,2021-08-30,79,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","00186D1702",151,2021-07-29,60,2.2,2021-08-30,81,5.7,2021-09-29,108,14.3,2021-11-04,136,29.3,2021-12-09,165,50.5,2022-01-06,187,72.5,2022-03-30,250,173,2022-03-30
"230","00186D1703",202,2021-07-29,58,2.1,2021-08-30,74,4.9,2021-09-29,74,3.8,2021-11-04,76,4.8,2021-12-09,105,12.4,2022-01-06,105,11.1,2022-03-30,142,36.3,2022-03-30
"231","0018729399",202,2021-07-29,73,4.3,2021-08-30,88,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","001872939A",151,2021-07-29,71,3.8,2021-08-30,80,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","001872939C",201,2021-07-29,59,2.2,2021-08-30,73,4.4,2021-09-29,72,3.6,2021-11-04,78,5.3,2021-12-09,94,9.1,2022-01-06,110,14.8,NA,NA,NA,NA
"234","001872939D",202,2021-07-29,59,2,2021-08-30,68,3.4,2021-09-29,76,4.9,2021-11-04,82,6.1,2021-12-09,105,12.8,2022-01-06,128,21.6,2022-03-30,165,52.8,2022-03-30
"235","001872939E",201,2021-07-29,67,3.4,2021-08-30,88,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","00187293A0",201,2021-07-29,73,4.2,2021-08-30,88,7.1,2021-09-29,110,15.2,2021-11-04,129,24.4,2021-12-09,160,47.8,NA,NA,NA,NA,NA,NA,NA
"237","00187293A1",152,2021-07-29,70,3.7,2021-08-30,88,7.6,2021-09-29,118,19,2021-11-04,150,41.7,2021-12-09,190,87.5,2022-01-06,216,133.5,NA,NA,NA,NA
"238","00187293A2",202,2021-07-29,58,2,2021-08-30,72,4.6,2021-09-29,86,7.7,2021-11-04,107,16.4,2021-12-09,120,22.5,2022-01-06,135,31.2,2022-03-30,166,33.2,2022-03-30
"239","00187293A4",152,2021-07-29,64,2.9,2021-08-30,85,7.2,2021-09-29,112,16.4,2021-11-04,139,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","00187293A4",152,2021-07-29,64,2.9,2021-08-30,85,7.2,2021-09-29,112,16.4,2021-11-04,141,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","00187293A7",152,2021-07-29,68,3.5,2021-08-30,90,7.8,2021-09-29,112,15.4,2021-11-04,137,27.6,2021-12-09,160,43.6,2022-01-06,180,62.1,NA,NA,NA,NA
"242","00187293A8",201,2021-07-29,67,3.1,2021-08-30,88,8.1,2021-09-29,108,15.3,2021-11-04,130,27.9,2021-12-09,156,43.2,2022-01-06,158,40.2,NA,NA,NA,NA
"243","00187293AA",152,2021-07-29,63,2.5,2021-08-30,74,3.9,2021-09-29,91,7.5,2021-11-04,115,15.3,2021-12-09,143,29.6,2022-01-06,159,45.8,2022-03-30,235,135.5,2022-03-30
"244","00187293AC",151,2021-07-29,70,3.6,2021-08-30,100,10.8,2021-09-29,140,28.8,2021-11-04,180,64.4,2021-12-09,225,122.9,2022-01-06,260,183.2,2022-03-30,305,327.8,2022-03-30
"245","00187293AD",202,2021-07-29,64,2.7,2021-08-30,80,5.6,2021-09-29,98,11,2021-11-04,125,22.3,2021-12-09,152,39.7,2022-01-06,171,54.7,2022-03-30,225,133.5,2022-03-30
"246","00187293AE",151,2021-07-29,61,2.3,2021-08-30,81,5.7,2021-09-29,111,14.8,2021-11-04,136,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","00187293B0",202,2021-07-29,70,3.6,2021-08-30,77,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","00187293B2",152,2021-07-29,59,2.1,2021-08-30,78,4.9,2021-09-29,102,11.6,2021-11-04,136,28.5,2021-12-09,160,49.8,2022-01-06,183,75.6,NA,NA,NA,NA
"249","00187293B5",151,2021-07-29,52,1.5,2021-08-30,66,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","00187293B6",201,2021-07-29,69,3.6,2021-08-30,86,8.1,2021-09-29,102,12.7,2021-11-04,129,26.5,2021-12-09,158,51.5,2022-01-06,166,67.2,2022-03-30,195,112,2022-03-30
"251","00187293B7",202,2021-07-29,62,2.7,2021-08-30,75,5.1,2021-09-29,75,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","00187293BA",152,2021-07-29,70,3.3,2021-08-30,89,7.9,2021-09-29,117,18.7,2021-11-04,134,29.2,2021-12-09,152,45.6,2022-01-06,172,63.9,2022-03-30,229,159.6,2022-03-30
"253","00187293BC",152,2021-07-29,67,3.1,2021-08-30,95,9.6,2021-09-29,130,25.2,2021-11-04,164,51.7,2021-12-09,195,88.1,2022-01-06,224,139.1,2022-03-30,315,377,2022-03-30
"254","00187293BD",151,2021-07-29,70,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","00187293BE",201,2021-07-29,71,3.8,2021-08-30,87,7.9,2021-09-29,107,14.4,2021-11-04,132,30.5,2021-12-09,155,50.3,2022-01-06,175,67.2,2022-03-30,218,133.6,2022-03-30
"256","00187293C0",202,2021-07-29,70,3.8,2021-08-30,86,7.6,2021-09-29,95,9.1,2021-11-04,116,17.8,2021-12-09,141,31.3,2022-01-06,158,45.4,2022-03-30,200,95.8,2022-03-30
"257","00187293C1",202,2021-07-29,62,2.3,2021-08-30,75,4.9,2021-09-29,80,5.6,2021-11-04,78,4.5,2021-12-09,85,5.7,NA,NA,NA,NA,NA,NA,NA
"258","00187293C2",201,2021-07-29,70,3.6,2021-08-30,93,10,2021-09-29,118,20,2021-11-04,145,45.3,2021-12-09,180,84.5,2022-01-06,190,115.5,NA,NA,NA,NA
"259","00187293C3",202,2021-07-29,67,3,2021-08-30,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","00187293C5",151,2021-07-29,71,3.4,2021-08-30,87,6.4,2021-09-29,115,15.9,2021-11-04,151,39.7,2021-12-09,190,79.9,2022-01-06,220,119.5,NA,NA,NA,NA
"261","00187293C7",152,2021-07-29,69,3.7,2021-08-30,96,10.4,2021-09-29,129,23.6,2021-11-04,165,50.4,2021-12-09,195,84.9,2022-01-06,220,117,2022-03-30,286,216.6,2022-03-30
"262","00187293CA",151,2021-07-29,65,2.9,2021-08-30,81,5.9,2021-09-29,105,13,2021-11-04,130,25.5,2021-12-09,161,48.5,2022-01-06,192,81.8,NA,NA,NA,NA
"263","00187293CC",151,2021-07-29,66,3.3,2021-08-30,89,7.3,2021-09-29,114,15.6,2021-11-04,138,28.9,2021-12-09,163,47.9,2022-01-06,187,70.2,2022-03-30,245,164.2,2022-03-30
"264","00187293CE",152,2021-07-29,61,2.4,2021-08-30,82,6.1,2021-09-29,110,15.5,2021-11-04,146,37.1,2021-12-09,175,64.8,2022-01-06,193,86.2,NA,NA,NA,NA
"265","00187293CF",151,2021-07-29,74,4.3,2021-08-30,96,9.7,2021-09-29,125,21.4,2021-11-04,150,38.5,2021-12-09,180,67.7,2022-01-06,204,93.5,NA,NA,NA,NA
"266","00187293D0",202,2021-07-29,74,4,2021-08-30,85,7,2021-09-29,84,5.7,2021-11-04,85,6,2021-12-09,105,12.5,2022-01-06,120,19.4,2022-03-30,156,44.4,2022-03-30
"267","00187293D3",201,2021-07-29,56,1.7,2021-08-30,64,2.9,2021-09-29,64,2.7,2021-11-04,152,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","00187293D9",151,2021-07-29,67,3.4,2021-08-30,93,8.9,2021-09-29,120,18.9,2021-11-04,141,31.6,2021-12-09,170,55.3,2022-01-06,189,71,NA,NA,NA,NA
"269","00187293DB",201,2021-07-29,74,4.4,2021-08-30,93,9.2,2021-09-29,106,13.6,2021-11-04,130,26.1,2021-12-09,148,37.1,2022-01-06,161,48.4,2022-03-30,190,82.3,2022-03-30
"270","00187293DC",151,2021-07-29,56,1.8,2021-08-30,77,5,2021-09-29,105,12.7,2021-11-04,131,26.9,2021-12-09,164,51.8,2022-01-06,186,78.5,2022-03-30,255,200.4,2022-03-30
"271","00187293DD",152,2021-07-29,71,4,2021-08-30,92,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","00187293E3",202,2021-07-29,72,4.4,2021-08-30,95,11.3,2021-09-29,118,21.8,2021-11-04,150,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","00187293E3",202,2021-07-29,72,4.4,2021-08-30,95,11.3,2021-09-29,118,21.8,2021-11-04,145,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","00187293E5",202,2021-07-29,64,2.9,2021-08-30,77,5.5,2021-09-29,79,5.2,2021-11-04,85,6.7,2021-12-09,104,12.2,2022-01-06,108,14.2,2022-03-30,153,42.4,2022-03-30
"275","00187293E8",151,2021-07-29,65,2.9,2021-08-30,86,6.6,2021-09-29,113,15.9,2021-11-04,142,34.2,2021-12-09,180,68.9,2022-01-06,209,104.5,2022-03-30,280,264.2,2022-03-30
