"","TAGNUMBER","TANK_Real","condition1","ConditionFactor","condition3","Date","condition4","Days_in_Exp"
"283","00186D1663",202,"K3",1.11759627393402,"T3",2021-09-29,"Day_in_Exp_T3",62
"284","00186D1663",202,"K4",1.23164345103121,"T4",2021-11-04,"Day_in_Exp_T4",98
"285","00186D1663",202,"K5",1.15307849078498,"T5",NA,"Day_in_Exp_T5",NA
"286","00186D1663",202,"K6",1.08902377915452,"T6",NA,"Day_in_Exp_T6",NA
"287","00186D1663",202,"K7",NA,"T7",NA,"Day_in_Exp_T7",NA
"288","00186D1664",151,"K1",1.2,"T8",NA,"Day_in_Exp_T8",NA
"289","00186D1664",151,"K2",1.04951150010177,"T1",2021-07-29,"Day_in_Exp_T1",0
"290","00186D1664",151,"K3",1.14377073861482,"T2",2021-08-30,"Day_in_Exp_T2",20
"291","00186D1664",151,"K4",1.17881011931609,"T3",2021-09-29,"Day_in_Exp_T3",62
"292","00186D1664",151,"K5",1.24499638094892,"T4",2021-11-04,"Day_in_Exp_T4",98
"293","00186D1664",151,"K6",1.31277749129008,"T5",2021-12-09,"Day_in_Exp_T5",133
"294","00186D1664",151,"K7",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"295","00186D1665",151,"K1",1.09239872553482,"T7",2022-02-16,"Day_in_Exp_T7",190
"296","00186D1665",151,"K2",1.04969154672049,"T8",NA,"Day_in_Exp_T8",NA
"297","00186D1665",151,"K3",1.08796296296296,"T1",2021-07-29,"Day_in_Exp_T1",0
"298","00186D1665",151,"K4",1.09925925925926,"T2",2021-08-25,"Day_in_Exp_T2",20
