"","TAGNUMBER","TANK_Real","T2minusT1","SGR_1","T3minusT1","SGR_2","T4minusT1","SGR_3","T5minusT1","SGR_4","T6minusT1","SGR_5","T7minusT1","SGR_6"
"33","00186D1654",152,32,3.2944905700578,62,3.11013322334528,98,2.65472097229116,133,2.40441737315322,161,2.18997833895853,244,1.78061615945928
"34","00186D1655",202,32,2.55690037998486,62,2.24996193690974,98,2.11599733055594,133,2.09740241199199,161,1.85902622684868,244,1.500796905617
"35","00186D1656",202,32,3.26988383078417,62,2.61321850853122,98,2.64781080827574,133,2.46498718592425,161,2.27412677937893,NA,NA
"36","00186D1657",152,32,2.79583615472709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","00186D1658",152,32,2.27269940244554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","00186D1659",202,32,2.68317164137559,62,1.04470483999872,98,1.3074174985807,133,1.77844837506758,161,1.86748751968222,NA,NA
"39","00186D165A",152,32,3.26988383078417,62,3.05223489153772,98,2.61911640417507,NA,NA,NA,NA,NA,NA
"40","00186D165B",202,32,1.68301351368747,62,1.58246977379881,98,2.12130460010378,133,2.02942991157049,NA,NA,NA,NA
"41","00186D165C",201,32,2.26150553128537,62,2.14473513821236,98,2.39622170823661,133,2.24222104640937,161,2.02629711796474,244,1.55165391498151
"42","00186D165E",201,32,2.03402567950237,62,1.62356931620571,98,1.54111408485258,NA,NA,NA,NA,NA,NA
"43","00186D165E",201,32,2.03402567950237,62,1.62356931620571,98,1.58430175657731,NA,NA,NA,NA,NA,NA
"44","00186D165F",201,32,2.95390665491486,62,2.75259945295414,98,2.46228537034585,133,2.40208065135765,161,2.2411729969219,NA,NA
"45","00186D1660",201,32,1.54501037201327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","00186D1661",202,32,2.36898964192929,62,1.96718215484877,98,1.76917923994837,133,1.6425571889273,161,1.53275455219071,244,1.33049914875405
"47","00186D1662",201,32,2.18971486541166,62,0.810972790448861,98,0.830912889472213,133,1.19427724845023,161,1.3670557343209,244,1.40782923469622
"48","00186D1663",202,32,2.29448048961669,62,1.59456226004924,98,1.62781009020267,133,1.61304556554565,161,1.45293074669892,244,1.35786022774216
"49","00186D1664",151,32,2.49453483760647,62,2.96859416973916,98,2.59104526926792,133,2.39439793470304,161,2.38593030799823,244,1.97866654612999
"50","00186D1665",151,32,2.86164182605724,62,3.00431752187129,98,2.59954510567564,133,2.42362111697654,161,2.25834296739136,NA,NA
"51","00186D1666",151,32,3.16411924026738,62,3.30680712871538,98,2.87379754276813,NA,NA,NA,NA,NA,NA
"52","00186D1667",152,32,2.77360753628788,62,3.15956233696126,98,2.69603360323483,NA,NA,NA,NA,NA,NA
"53","00186D1667",152,32,2.77360753628788,62,3.15956233696126,98,2.66466124041904,NA,NA,NA,NA,NA,NA
