"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"77","00186D1644",152,"WEIGHT_7",145.6,"LENGTH_7",225,"T7",2022-03-30
"78","00186D1645",202,"WEIGHT_1",2.6,"LENGTH_1",64,"T1",2021-07-29
"79","00186D1645",202,"WEIGHT_2",6.9,"LENGTH_2",81,"T2",2021-08-30
"80","00186D1645",202,"WEIGHT_3",6.3,"LENGTH_3",86,"T3",2021-09-29
"81","00186D1645",202,"WEIGHT_4",9.1,"LENGTH_4",91,"T4",2021-11-04
"82","00186D1645",202,"WEIGHT_5",15.6,"LENGTH_5",110,"T5",2021-12-09
"83","00186D1645",202,"WEIGHT_6",15.2,"LENGTH_6",109,"T6",2022-01-06
"84","00186D1645",202,"WEIGHT_7",40.9,"LENGTH_7",155,"T7",2022-03-30
"85","00186D1646",201,"WEIGHT_1",2.9,"LENGTH_1",65,"T1",2021-07-29
"86","00186D1646",201,"WEIGHT_2",6.8,"LENGTH_2",82,"T2",2021-08-30
"87","00186D1646",201,"WEIGHT_3",10.2,"LENGTH_3",96,"T3",2021-09-29
"88","00186D1646",201,"WEIGHT_4",18.1,"LENGTH_4",115,"T4",2021-11-04
"89","00186D1646",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"90","00186D1646",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"91","00186D1646",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"92","00186D1647",202,"WEIGHT_1",1.8,"LENGTH_1",57,"T1",2021-07-29
"93","00186D1647",202,"WEIGHT_2",3.5,"LENGTH_2",69,"T2",2021-08-30
"94","00186D1647",202,"WEIGHT_3",4.6,"LENGTH_3",76,"T3",2021-09-29
"95","00186D1647",202,"WEIGHT_4",7.3,"LENGTH_4",85,"T4",2021-11-04
"96","00186D1647",202,"WEIGHT_5",11.9,"LENGTH_5",104,"T5",2021-12-09
"97","00186D1647",202,"WEIGHT_6",17.2,"LENGTH_6",116,"T6",2022-01-06
"98","00186D1647",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"99","00186D1648",202,"WEIGHT_1",2.3,"LENGTH_1",60,"T1",2021-07-29
"100","00186D1648",202,"WEIGHT_2",3.9,"LENGTH_2",70,"T2",2021-08-30
"101","00186D1648",202,"WEIGHT_3",3.7,"LENGTH_3",73,"T3",2021-09-29
"102","00186D1648",202,"WEIGHT_4",10,"LENGTH_4",95,"T4",2021-11-04
"103","00186D1648",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"104","00186D1648",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"105","00186D1648",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"106","00186D1649",151,"WEIGHT_1",1.7,"LENGTH_1",54,"T1",2021-07-29
"107","00186D1649",151,"WEIGHT_2",4.7,"LENGTH_2",77,"T2",2021-08-30
"108","00186D1649",151,"WEIGHT_3",10.5,"LENGTH_3",96,"T3",2021-09-29
"109","00186D1649",151,"WEIGHT_4",16,"LENGTH_4",116,"T4",2021-11-04
"110","00186D1649",151,"WEIGHT_5",26.4,"LENGTH_5",134,"T5",2021-12-09
"111","00186D1649",151,"WEIGHT_6",39.9,"LENGTH_6",149,"T6",2022-01-06
"112","00186D1649",151,"WEIGHT_7",86.7,"LENGTH_7",200,"T7",2022-03-30
"113","00186D164A",201,"WEIGHT_1",2.8,"LENGTH_1",64,"T1",2021-07-29
"114","00186D164A",201,"WEIGHT_2",7.3,"LENGTH_2",87,"T2",2021-08-30
"115","00186D164A",201,"WEIGHT_3",12.9,"LENGTH_3",105,"T3",2021-09-29
"116","00186D164A",201,"WEIGHT_4",23.1,"LENGTH_4",125,"T4",2021-11-04
"117","00186D164A",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"118","00186D164A",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"119","00186D164A",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"120","00186D164B",201,"WEIGHT_1",2.9,"LENGTH_1",65,"T1",2021-07-29
"121","00186D164B",201,"WEIGHT_2",8,"LENGTH_2",88,"T2",2021-08-30
"122","00186D164B",201,"WEIGHT_3",13.3,"LENGTH_3",105,"T3",2021-09-29
"123","00186D164B",201,"WEIGHT_4",24.4,"LENGTH_4",125,"T4",2021-11-04
"124","00186D164B",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"125","00186D164B",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"126","00186D164B",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"127","00186D164C",151,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29
"128","00186D164C",151,"WEIGHT_2",6.2,"LENGTH_2",85,"T2",2021-08-30
"129","00186D164C",151,"WEIGHT_3",17.2,"LENGTH_3",116,"T3",2021-09-29
"130","00186D164C",151,"WEIGHT_4",41.2,"LENGTH_4",151,"T4",2021-11-04
"131","00186D164C",151,"WEIGHT_5",81.5,"LENGTH_5",191,"T5",2021-12-09
"132","00186D164C",151,"WEIGHT_6",114.6,"LENGTH_6",216,"T6",2022-01-06
"133","00186D164C",151,"WEIGHT_7",250.5,"LENGTH_7",274,"T7",2022-03-30
"134","00186D164D",152,"WEIGHT_1",2.2,"LENGTH_1",58,"T1",2021-07-29
"135","00186D164D",152,"WEIGHT_2",5.6,"LENGTH_2",80,"T2",2021-08-30
"136","00186D164D",152,"WEIGHT_3",14.5,"LENGTH_3",107,"T3",2021-09-29
"137","00186D164D",152,"WEIGHT_4",28.3,"LENGTH_4",132,"T4",2021-11-04
"138","00186D164D",152,"WEIGHT_5",48.5,"LENGTH_5",160,"T5",2021-12-09
"139","00186D164D",152,"WEIGHT_6",66.1,"LENGTH_6",180,"T6",2022-01-06
"140","00186D164D",152,"WEIGHT_7",164.3,"LENGTH_7",240,"T7",2022-03-30
"141","00186D164E",151,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29
"142","00186D164E",151,"WEIGHT_2",5.8,"LENGTH_2",80,"T2",2021-08-30
"143","00186D164E",151,"WEIGHT_3",17.1,"LENGTH_3",111,"T3",2021-09-29
"144","00186D164E",151,"WEIGHT_4",39.7,"LENGTH_4",141,"T4",2021-11-04
"145","00186D164E",151,"WEIGHT_5",75.7,"LENGTH_5",178,"T5",2021-12-09
