"","TAGNUMBER","TANK_Real","LAST4","condition1","ConditionFactor","condition2","Date"
"135","00186D164D",152,"164D","K2",1.09375,"T2",2021-08-30
"136","00186D164D",152,"164D","K3",1.18363192149174,"T3",2021-09-29
"137","00186D164D",152,"164D","K4",1.23045190193951,"T4",2021-11-04
"138","00186D164D",152,"164D","K5",1.18408203125,"T5",2021-12-09
"139","00186D164D",152,"164D","K6",1.13340192043896,"T6",2022-01-06
"140","00186D164D",152,"164D","K7",1.18851273148148,"T7",2022-03-30
"141","00186D164E",151,"164E","K1",1.08190597667638,"T1",2021-07-29
"142","00186D164E",151,"164E","K2",1.1328125,"T2",2021-08-30
"143","00186D164E",151,"164E","K3",1.25033726202463,"T3",2021-09-29
"144","00186D164E",151,"164E","K4",1.41622797489031,"T4",2021-11-04
"145","00186D164E",151,"164E","K5",1.34225760281658,"T5",2021-12-09
"146","00186D164E",151,"164E","K6",1.28301349881276,"T6",2022-01-06
"147","00186D164E",151,"164E","K7",1.39540934223957,"T7",2022-03-30
"148","00186D164F",151,"164F","K1",1.02496355685131,"T1",2021-07-29
"149","00186D164F",151,"164F","K2",1.00759419362894,"T2",2021-08-30
"150","00186D164F",151,"164F","K3",1.06156432484966,"T3",2021-09-29
"151","00186D164F",151,"164F","K4",1.06349173807864,"T4",2021-11-04
"152","00186D164F",151,"164F","K5",1.03809153826973,"T5",2021-12-09
"153","00186D164F",151,"164F","K6",1.05419610858809,"T6",2022-01-06
"154","00186D164F",151,"164F","K7",1.14383860159938,"T7",2022-02-04
"155","00186D1650",151,"1650","K1",1.00754313963876,"T1",2021-07-29
"156","00186D1650",151,"1650","K2",0.983158852981338,"T2",2021-08-30
"157","00186D1650",151,"1650","K3",1.09224660942538,"T3",2021-09-29
"158","00186D1650",151,"1650","K4",1.11141089957744,"T4",2021-11-04
"159","00186D1650",151,"1650","K5",1.09885604165812,"T5",2021-12-09
"160","00186D1650",151,"1650","K6",1.06712302061454,"T6",2022-01-06
"161","00186D1650",151,"1650","K7",1.07711226851852,"T7",2022-03-30
"162","00186D1651",202,"1651","K1",1.10626220703125,"T1",2021-07-29
"163","00186D1651",202,"1651","K2",1.1398330958681,"T2",2021-08-30
"164","00186D1651",202,"1651","K3",1.11945905334335,"T3",2021-09-29
"165","00186D1651",202,"1651","K4",1.14616674287456,"T4",2021-11-04
"166","00186D1651",202,"1651","K5",NA,"T5",NA
"167","00186D1651",202,"1651","K6",NA,"T6",NA
"168","00186D1651",202,"1651","K7",NA,"T7",NA
"169","00186D1652",201,"1652","K1",1.00754313963876,"T1",2021-07-29
"170","00186D1652",201,"1652","K2",1.068115234375,"T2",2021-08-30
"171","00186D1652",201,"1652","K3",NA,"T3",NA
"172","00186D1652",201,"1652","K4",NA,"T4",NA
"173","00186D1652",201,"1652","K5",NA,"T5",NA
"174","00186D1652",201,"1652","K6",NA,"T6",NA
"175","00186D1652",201,"1652","K7",NA,"T7",NA
"176","00186D1653",201,"1653","K1",1.12881201638598,"T1",2021-07-29
"177","00186D1653",201,"1653","K2",1.06908825637994,"T2",2021-08-25
"178","00186D1653",201,"1653","K3",NA,"T3",NA
"179","00186D1653",201,"1653","K4",NA,"T4",NA
"180","00186D1653",201,"1653","K5",NA,"T5",NA
"181","00186D1653",201,"1653","K6",NA,"T6",NA
"182","00186D1653",201,"1653","K7",NA,"T7",NA
"183","00186D1654",152,"1654","K1",1.17485146520761,"T1",2021-07-29
"184","00186D1654",152,"1654","K2",1.15925525920361,"T2",2021-08-30
"185","00186D1654",152,"1654","K3",1.13813973191027,"T3",2021-09-29
"186","00186D1654",152,"1654","K4",1.14905511466468,"T4",2021-11-04
"187","00186D1654",152,"1654","K5",1.13168724279835,"T5",2021-12-09
"188","00186D1654",152,"1654","K6",1.07895907305637,"T6",2022-01-06
"189","00186D1654",152,"1654","K7",1.11608912054918,"T7",2022-03-30
"190","00186D1655",202,"1655","K1",1.03377655338897,"T1",2021-07-29
"191","00186D1655",202,"1655","K2",1.13854595336077,"T2",2021-08-30
