"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days"
"129","00186D164F",151,"SGR_3",2.29284583437437,"T4minusT1",98
"130","00186D164F",151,"SGR_4",2.11448986099114,"T5minusT1",133
"131","00186D164F",151,"SGR_5",2.04020140226517,"T6minusT1",161
"132","00186D164F",151,"SGR_6",1.94613511280264,"T7minusT1",190
"133","00186D1650",151,"SGR_1",1.8538068771883,"T2minusT1",32
"134","00186D1650",151,"SGR_2",2.67342650405369,"T3minusT1",62
"135","00186D1650",151,"SGR_3",2.39123442449694,"T4minusT1",98
"136","00186D1650",151,"SGR_4",2.3628827178098,"T5minusT1",133
"137","00186D1650",151,"SGR_5",2.2542622500954,"T6minusT1",161
"138","00186D1650",151,"SGR_6",1.90221417611247,"T7minusT1",244
"139","00186D1651",202,"SGR_1",2.79201425045448,"T2minusT1",32
"140","00186D1651",202,"SGR_2",2.67490907797934,"T3minusT1",62
"141","00186D1651",202,"SGR_3",2.34817743559406,"T4minusT1",98
"142","00186D1651",202,"SGR_4",NA,"T5minusT1",NA
"143","00186D1651",202,"SGR_5",NA,"T6minusT1",NA
"144","00186D1651",202,"SGR_6",NA,"T7minusT1",NA
"145","00186D1652",201,"SGR_1",1.96962839859378,"T2minusT1",32
"146","00186D1652",201,"SGR_2",NA,"T3minusT1",NA
"147","00186D1652",201,"SGR_3",NA,"T4minusT1",NA
"148","00186D1652",201,"SGR_4",NA,"T5minusT1",NA
"149","00186D1652",201,"SGR_5",NA,"T6minusT1",NA
"150","00186D1652",201,"SGR_6",NA,"T7minusT1",NA
"151","00186D1653",201,"SGR_1",2.95206976793485,"T2minusT1",27
"152","00186D1653",201,"SGR_2",NA,"T3minusT1",NA
"153","00186D1653",201,"SGR_3",NA,"T4minusT1",NA
"154","00186D1653",201,"SGR_4",NA,"T5minusT1",NA
"155","00186D1653",201,"SGR_5",NA,"T6minusT1",NA
"156","00186D1653",201,"SGR_6",NA,"T7minusT1",NA
"157","00186D1654",152,"SGR_1",3.2944905700578,"T2minusT1",32
"158","00186D1654",152,"SGR_2",3.11013322334528,"T3minusT1",62
"159","00186D1654",152,"SGR_3",2.65472097229116,"T4minusT1",98
"160","00186D1654",152,"SGR_4",2.40441737315322,"T5minusT1",133
"161","00186D1654",152,"SGR_5",2.18997833895853,"T6minusT1",161
"162","00186D1654",152,"SGR_6",1.78061615945928,"T7minusT1",244
"163","00186D1655",202,"SGR_1",2.55690037998486,"T2minusT1",32
"164","00186D1655",202,"SGR_2",2.24996193690974,"T3minusT1",62
"165","00186D1655",202,"SGR_3",2.11599733055594,"T4minusT1",98
"166","00186D1655",202,"SGR_4",2.09740241199199,"T5minusT1",133
"167","00186D1655",202,"SGR_5",1.85902622684868,"T6minusT1",161
"168","00186D1655",202,"SGR_6",1.500796905617,"T7minusT1",244
"169","00186D1656",202,"SGR_1",3.26988383078417,"T2minusT1",32
"170","00186D1656",202,"SGR_2",2.61321850853122,"T3minusT1",62
"171","00186D1656",202,"SGR_3",2.64781080827574,"T4minusT1",98
"172","00186D1656",202,"SGR_4",2.46498718592425,"T5minusT1",133
"173","00186D1656",202,"SGR_5",2.27412677937893,"T6minusT1",161
"174","00186D1656",202,"SGR_6",2.05893165351545,"T7minusT1",190
"175","00186D1657",152,"SGR_1",3.45205114301428,"T2minusT1",26
"176","00186D1657",152,"SGR_2",NA,"T3minusT1",NA
"177","00186D1657",152,"SGR_3",NA,"T4minusT1",NA
"178","00186D1657",152,"SGR_4",NA,"T5minusT1",NA
"179","00186D1657",152,"SGR_5",NA,"T6minusT1",NA
"180","00186D1657",152,"SGR_6",NA,"T7minusT1",NA
"181","00186D1658",152,"SGR_1",2.80446131672976,"T2minusT1",26
"182","00186D1658",152,"SGR_2",NA,"T3minusT1",NA
"183","00186D1658",152,"SGR_3",NA,"T4minusT1",NA
"184","00186D1658",152,"SGR_4",NA,"T5minusT1",NA
"185","00186D1658",152,"SGR_5",NA,"T6minusT1",NA
"186","00186D1658",152,"SGR_6",NA,"T7minusT1",NA
"187","00186D1659",202,"SGR_1",2.68317164137559,"T2minusT1",32
"188","00186D1659",202,"SGR_2",1.04470483999872,"T3minusT1",62
"189","00186D1659",202,"SGR_3",1.3074174985807,"T4minusT1",98
"190","00186D1659",202,"SGR_4",1.77844837506758,"T5minusT1",133
"191","00186D1659",202,"SGR_5",1.86748751968222,"T6minusT1",161
"192","00186D1659",202,"SGR_6",1.9718639470792,"T7minusT1",190
"193","00186D165A",152,"SGR_1",3.26988383078417,"T2minusT1",32
"194","00186D165A",152,"SGR_2",3.05223489153772,"T3minusT1",62
"195","00186D165A",152,"SGR_3",NA,"T4minusT1",NA
"196","00186D165A",152,"SGR_4",NA,"T5minusT1",NA
"197","00186D165A",152,"SGR_5",NA,"T6minusT1",NA
"198","00186D165A",152,"SGR_6",NA,"T7minusT1",NA
"199","00186D165B",202,"SGR_1",1.68301351368747,"T2minusT1",32
"200","00186D165B",202,"SGR_2",1.58246977379881,"T3minusT1",62
"201","00186D165B",202,"SGR_3",2.12130460010378,"T4minusT1",98
"202","00186D165B",202,"SGR_4",2.02942991157049,"T5minusT1",133
"203","00186D165B",202,"SGR_5",NA,"T6minusT1",NA
"204","00186D165B",202,"SGR_6",NA,"T7minusT1",NA
"205","00186D165C",201,"SGR_1",2.26150553128537,"T2minusT1",32
"206","00186D165C",201,"SGR_2",2.14473513821236,"T3minusT1",62
"207","00186D165C",201,"SGR_3",2.39622170823661,"T4minusT1",98
"208","00186D165C",201,"SGR_4",2.24222104640937,"T5minusT1",133
"209","00186D165C",201,"SGR_5",2.02629711796474,"T6minusT1",161
"210","00186D165C",201,"SGR_6",1.55165391498151,"T7minusT1",244
"211","00186D165E",201,"SGR_1",2.03402567950237,"T2minusT1",32
"212","00186D165E",201,"SGR_2",1.62356931620571,"T3minusT1",62
"213","00186D165E",201,"SGR_3",1.54111408485258,"T4minusT1",98
