"","TAGNUMBER","TANK_Real","T2minusT1","SGR_1","T3minusT1","SGR_2","T4minusT1","SGR_3","T5minusT1","SGR_4","T6minusT1","SGR_5","T7minusT1","SGR_6","K1","K2","K3","K4","K5","K6","K7"
"316","00187293BA",152,32,2.76548730856034,62,2.83724803509258,98,2.24967297287626,133,1.99404568809263,161,1.85766299304486,244,1.60235307592342,0.962099125364431,1.12061665122864,1.16757294052933,1.21358012787477,1.29847645429363,1.25578565409335,1.32900446490541
"317","00187293BC",152,32,3.59550769121377,62,3.43750725541057,98,2.91310997853038,133,2.54852785282453,161,2.39073366580924,244,1.98704264930498,1.03071188942789,1.1196967487972,1.14701866181156,1.17208470567752,1.18815219406935,1.23760790588557,1.20617323943099
"318","00187293BD",151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07871720116618,NA,NA,NA,NA,NA,NA
"319","00187293BE",201,32,2.31342171238567,62,2.17200540206677,98,2.14797407275913,133,1.96108988327817,161,1.80028160203789,244,1.46964927722899,1.06171646023732,1.19969081386114,1.17546894272283,1.32610540668392,1.35074351314155,1.25387755102041,1.28954641170198
"320","00187293C0",202,32,2.18971486541166,62,1.41847157172243,98,1.58819142100171,133,1.59806090460659,161,1.55261990404698,244,1.33143388738812,1.10787172011662,1.19486334536582,1.06137920979735,1.1403706589036,1.11657268549287,1.15102456397973,1.1975
"321","00187293C1",202,32,2.39167147607886,62,1.44560321499629,98,0.687216152915293,133,0.684707197379875,NA,NA,NA,NA,0.965056560706253,1.16148148148148,1.09375,0.948262782582309,0.928149806635457,NA,NA
"322","00187293C2",201,32,3.24417228350986,62,2.80440734941896,98,2.61773039898345,133,2.40117002199947,161,2.17761779960368,NA,NA,1.04956268221574,1.24322906371176,1.21726174535858,1.48591578170487,1.44890260631001,1.68391893862079,NA
"323","00187293C3",202,32,2.13605662576177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997463118801182,NA,NA,NA,NA,NA,NA
"324","00187293C5",151,32,1.99629773897612,62,2.51918201953427,98,2.5394384172247,133,2.40208065135765,161,2.23551639329547,NA,NA,0.949956832843919,0.971901418824212,1.04545080956686,1.15308059859115,1.16489284152209,1.12227648384673,NA
"325","00187293C7",152,32,3.28232075635893,62,3.03367679137698,98,2.70078505299047,133,2.38371217609303,161,2.16841869357314,244,1.68190524143164,1.12630095370294,1.17549189814815,1.09936744446913,1.12196343601302,1.14499570120872,1.09879789631856,0.925892045262185
"326","00187293CA",151,32,2.24431930119804,62,2.44925297907423,98,2.2431223950375,133,2.14052204822335,161,2.095927304766,NA,NA,1.05598543468366,1.11018908966376,1.12298887809092,1.16067364588075,1.16215514843117,1.15571198640046,NA
"327","00187293CC",151,32,2.51213504237418,62,2.53704964083379,98,2.23889860134432,133,2.03178877032164,161,1.91716837445359,244,1.61418565537506,1.14784205693297,1.03550652581887,1.05295556527515,1.09966545817618,1.10604475394199,1.07352532105212,1.11654157706398
"328","00187293CE",152,32,2.9579664321306,62,3.05438098625546,98,2.83342787783332,133,2.50903225979489,161,2.2492718059163,NA,NA,1.05735722373238,1.10633914191611,1.16453794139745,1.19210728579985,1.20909620991254,1.19904460348555,NA
"329","00187293CF",151,32,2.5748114799039,62,2.62213684992809,98,2.26198225579519,133,2.09416084991607,161,1.93104560814372,NA,NA,1.061141492113,1.09637225115741,1.09568,1.14074074074074,1.16083676268861,1.10133922850186,NA
"330","00187293D0",202,32,1.76418036318362,62,0.572879575553809,98,0.414596991409688,133,0.860397833077409,161,0.985557052619601,244,0.991334397974786,0.987108364756283,1.1398330958681,0.96169420149012,0.976999796458376,1.07979699816435,1.12268518518519,1.16952409851818
"331","00187293D3",201,32,1.68301351368747,62,0.748957733557765,98,3.23765870863897,NA,NA,NA,NA,NA,NA,0.968021137026239,1.10626220703125,1.02996826171875,1.09914892841522,NA,NA,NA
"332","00187293D9",151,32,3.05278226508359,62,2.80538244116482,98,2.30095198522324,133,2.11913192815751,161,1.9054445249024,NA,NA,1.13045820130801,1.10647386670347,1.09375,1.1272746601142,1.12558518216975,1.05165414087337,NA
"333","00187293DB",201,32,2.33176703560192,62,1.83677011288617,98,1.83326577605256,133,1.61593410857246,161,1.5005224182538,244,1.20754684652287,1.08581920123191,1.14377073861482,1.14188222492393,1.18798361401912,1.14442876038932,1.15975895224884,1.199883364922
"334","00187293DC",151,32,3.24417228350986,62,3.20149469783966,98,2.79795792185784,133,2.558191820567,161,2.37262353762215,244,1.95013571576723,1.02496355685131,1.09521108003145,1.09707375013497,1.19657077938571,1.17435179408308,1.21991851876716,1.20858493339666
"335","00187293DD",152,32,2.26859939188551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11759627393402,1.05305334100436,NA,NA,NA,NA,NA
"336","00187293E3",202,32,2.99136288858155,62,2.614737612963,98,2.38920159053113,NA,NA,NA,NA,NA,NA,1.17884087791495,1.31797638139671,1.32681530244085,1.31851851851852,NA,NA,NA
"337","00187293E3",202,32,2.99136288858155,62,2.614737612963,98,2.38920159053113,NA,NA,NA,NA,NA,NA,1.17884087791495,1.31797638139671,1.32681530244085,1.34158842100947,NA,NA,NA
"338","00187293E3",202,32,2.99136288858155,62,2.614737612963,98,2.30110213093095,NA,NA,NA,NA,NA,NA,1.17884087791495,1.31797638139671,1.32681530244085,1.31851851851852,NA,NA,NA
"339","00187293E3",202,32,2.99136288858155,62,2.614737612963,98,2.30110213093095,NA,NA,NA,NA,NA,NA,1.17884087791495,1.31797638139671,1.32681530244085,1.34158842100947,NA,NA,NA
"340","00187293E5",202,32,2.02025309609517,62,0.94630081170326,98,0.858147676463417,133,1.08610022983149,161,0.99154894976996,244,1.10542484664793,1.10626220703125,1.2047321880346,1.05468330091534,1.09098310604519,1.08457555757852,1.12724178224864,1.18383605880873
"341","00187293E8",151,32,2.60317749452608,62,2.78253877447656,98,2.54983848503549,133,2.41050801170626,161,2.25135167512307,244,1.86638172924549,1.05598543468366,1.03764448413347,1.10194975802154,1.19443101776699,1.18141289437586,1.14466243904673,1.20353498542274
"342","00187293EC",202,32,1.2385582756741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00870968639564,1.15204903978052,NA,NA,NA,NA,NA
"343","00187293ED",201,32,1.23266700228808,62,1.2193354458923,98,1.54199552966485,NA,NA,NA,NA,NA,NA,1.0489745225068,1.07871720116618,1.07496567208679,1.15428337038377,NA,NA,NA
"344","00187293ED",201,32,1.23266700228808,62,1.2193354458923,98,1.54199552966485,NA,NA,NA,NA,NA,NA,1.0489745225068,1.07871720116618,1.07496567208679,1.21123001470476,NA,NA,NA
