"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals","residuals.log"
"2564",2564,"00187294AC","202","WEIGHT_4",8.7,"LENGTH_4",94,"T4","2021-11-04","Day_in_Exp_T4",98,1.0474557660634,"20",2021-11-04,0.86580447118158,-0.0652056761700264,-0.0292455176284312
"2565",2565,"00187294AC","202","WEIGHT_5",11.2,"LENGTH_5",102,"T5","2021-12-09","Day_in_Exp_T5",133,1.05540101469269,"20",2021-12-09,0.866336261720426,-0.0490940333722221,-0.0223771928985448
"2566",2566,"00187294AC","202","WEIGHT_6",12.3,"LENGTH_6",103,"T6","2022-01-06","Day_in_Exp_T6",161,1.12562424100439,"20",2022-01-06,0.923213769439554,0.0185502390947281,0.0105050017675918
"2568",2568,"00187294AC","202","WEIGHT_8",22.6,"LENGTH_8",130,"T8","2022-03-30","Day_in_Exp_T8",244,1.02867546654529,"20",2022-03-30,0.827166995151359,-0.0707435476258803,-0.0298202087515984
"2569",2569,"00187294AD","201","WEIGHT_1",2.4,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.11111111111111,"20",2021-07-29,0.954145561268892,0.0232609909843016,0.0105607373781472
"2570",2570,"00187294AD","201","WEIGHT_2",5.6,"LENGTH_2",78,"T2","2021-08-30","Day_in_Exp_T2",20,1.18006035165798,"20",2021-08-30,0.991005757657935,0.00620497000047759,0.00195706771536699
"2571",2571,"00187294AD","201","WEIGHT_3",8.6,"LENGTH_3",91,"T3","2021-09-29","Day_in_Exp_T3",62,1.14123287653055,"20",2021-09-29,0.945922935792243,0.0148103327443159,0.00699568694384486
"2572",2572,"00187294AD","201","WEIGHT_4",16.4,"LENGTH_4",110,"T4","2021-11-04","Day_in_Exp_T4",98,1.23215627347859,"20",2021-11-04,1.00495684896425,0.0124600508653037,0.00562195289215881
"2577",2577,"00187294AE","202","WEIGHT_1",3,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,0.997463118801182,"20",2021-07-29,0.848555960445356,-0.0492273410966171,-0.024056304374758
"2578",2578,"00187294AE","202","WEIGHT_2",8.6,"LENGTH_2",91,"T2","2021-08-30","Day_in_Exp_T2",20,1.14123287653055,"20",2021-08-30,0.945922935792243,-0.00577658312259666,-0.00194624992016006
"2579",2579,"00187294AE","202","WEIGHT_3",18.3,"LENGTH_3",118,"T3","2021-09-29","Day_in_Exp_T3",62,1.1137944970031,"20",2021-09-29,0.903015276009248,0.00500394170393914,0.00315213233943064
"2580",2580,"00187294AE","202","WEIGHT_4",47.2,"LENGTH_4",155,"T4","2021-11-04","Day_in_Exp_T4",98,1.26749689503541,"20",2021-11-04,1.00408090909475,0.0446853797384152,0.0215603524738711
"2581",2581,"00187294AE","202","WEIGHT_5",74.9,"LENGTH_5",184,"T5","2021-12-09","Day_in_Exp_T5",133,1.2023429152626,"20",2021-12-09,0.938682742922637,-0.00513293417473748,-0.00108786738105253
"2582",2582,"00187294AE","202","WEIGHT_6",105.2,"LENGTH_6",208,"T6","2022-01-06","Day_in_Exp_T6",161,1.16903021165225,"20",2022-01-06,0.903213357023599,-0.0298355553259522,-0.0125499354116373
"2585",2585,"00187294AF","151","WEIGHT_1",3.3,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.04951150010177,"15",2021-07-29,0.891710630661244,-0.0105828758217021,-0.0037421547380773
"2586",2586,"00187294AF","151","WEIGHT_2",8.7,"LENGTH_2",93,"T2","2021-08-30","Day_in_Exp_T2",20,1.08160928542923,"15",2021-08-30,0.894848174218097,0.00448070445775772,0.00348651484911544
"2587",2587,"00187294AF","151","WEIGHT_3",20.5,"LENGTH_3",125,"T3","2021-09-29","Day_in_Exp_T3",62,1.0496,"15",2021-09-29,0.846810961188096,-0.0468178439316287,-0.0222080315256282
"2593",2593,"00187294B0","202","WEIGHT_1",3.6,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.04956268221574,"20",2021-07-29,0.889559592706172,0.00512348941420915,0.00430908608072164
"2594",2594,"00187294B0","202","WEIGHT_2",7,"LENGTH_2",88,"T2","2021-08-28","Day_in_Exp_T2",20,1.02718820435763,"20",2021-08-28,0.853825254857999,-0.0845270658068303,-0.03856217790238
"2601",2601,"00187294B3","151","WEIGHT_1",3.5,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.02040816326531,"15",2021-07-29,0.864849604019889,-0.0352798365427366,-0.0163824281433338
"2602",2602,"00187294B3","151","WEIGHT_2",7.1,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,0.973936899862826,"15",2021-08-30,0.808016458654272,-0.0801869451857464,-0.0401995545142565
"2603",2603,"00187294B3","151","WEIGHT_3",19.4,"LENGTH_3",123,"T3","2021-09-29","Day_in_Exp_T3",62,1.04252480161129,"15",2021-09-29,0.842256674281235,-0.0492080649181696,-0.0239069614442465
"2604",2604,"00187294B3","151","WEIGHT_4",50.2,"LENGTH_4",163,"T4","2021-11-04","Day_in_Exp_T4",98,1.15915337469494,"15",2021-11-04,0.914334185306044,0.0181480270070957,0.00959043692477039
"2605",2605,"00187294B3","151","WEIGHT_5",96.9,"LENGTH_5",198,"T5","2021-12-09","Day_in_Exp_T5",133,1.24832654676548,"15",2021-12-09,0.968526850304837,0.0699640229056308,0.0338074803843806
"2606",2606,"00187294B3","151","WEIGHT_6",129,"LENGTH_6",222,"T6","2022-01-06","Day_in_Exp_T6",161,1.17904610234778,"15",2022-01-06,0.905921953364036,0.0172999291877103,0.0130484040822152
