"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals","residuals.log"
"1",1,"00186D163A","151","WEIGHT_1",2.1,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.13395214721939,"15",2021-07-29,0.978014660605515,0.0485328551597736,0.0217886918071752
"2",2,"00186D163A","151","WEIGHT_2",3.9,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.08965636708567,"15",2021-08-30,0.922428263105811,0.00487249438267678,0.00207918548765656
"3",3,"00186D163A","151","WEIGHT_3",9.3,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.11969409475742,"15",2021-09-29,0.925515124366517,0.00469802028399735,0.00179844348745384
"4",4,"00186D163A","151","WEIGHT_4",16.7,"LENGTH_4",113,"T4","2021-11-04","Day_in_Exp_T4",98,1.15739377100375,"15",2021-11-04,0.941823392476435,0.0162848692943706,0.00722129823971331
"5",5,"00186D163A","151","WEIGHT_5",30.3,"LENGTH_5",140,"T5","2021-12-09","Day_in_Exp_T5",133,1.10422740524781,"15",2021-12-09,0.882343393811372,-0.0455717984709499,-0.0219002004021015
"6",6,"00186D163A","151","WEIGHT_6",46.8,"LENGTH_6",162,"T6","2022-01-06","Day_in_Exp_T6",161,1.10078070754797,"15",2022-01-06,0.86874443020928,-0.0492299588501615,-0.020384000954187
"8",8,"00186D163A","151","WEIGHT_8",141.4,"LENGTH_8",225,"T8","2022-03-30","Day_in_Exp_T8",244,1.24137174211248,"15",2022-03-30,0.95272232279036,0.047182093556242,0.0227570865719538
"9",9,"00186D163B","201","WEIGHT_1",2.6,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.14547032571008,"20",2021-07-29,0.982269834254951,0.0692448247768612,0.0314565430509627
"10",10,"00186D163B","201","WEIGHT_2",5.9,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.19665989911549,"20",2021-08-30,1.0038583482603,0.0369171214093428,0.0158329580087102
"11",11,"00186D163B","201","WEIGHT_3",7,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.1398330958681,"20",2021-09-29,0.950256073799033,0.0370030315576068,0.0172602181847936
"12",12,"00186D163B","201","WEIGHT_4",10.9,"LENGTH_4",99,"T4","2021-11-04","Day_in_Exp_T4",98,1.12336506581992,"20",2021-11-04,0.924468084591702,-0.0501691527007471,-0.0223539058469536
"13",13,"00186D163B","201","WEIGHT_5",17.8,"LENGTH_5",119,"T5","2021-12-09","Day_in_Exp_T5",133,1.05628014923221,"20",2021-12-09,0.855771120594687,-0.103286264438803,-0.0492865458324307
"14",14,"00186D163B","201","WEIGHT_6",27.9,"LENGTH_6",134,"T6","2022-01-06","Day_in_Exp_T6",161,1.15955087560637,"20",2022-01-06,0.930006320941615,-0.018284299344053,-0.00789185770034034
"16",16,"00186D163B","201","WEIGHT_8",56.6,"LENGTH_8",166,"T8","2022-03-30","Day_in_Exp_T8",244,1.23734887291946,"20",2022-03-30,0.9745025493328,0.0329649166147181,0.019789086990137
"17",17,"00186D163C","152","WEIGHT_1",3.9,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.18718208633553,"15",2021-07-29,1.00743065564678,0.0685085259074499,0.0304208430146396
"18",18,"00186D163C","152","WEIGHT_2",8.3,"LENGTH_2",91,"T2","2021-08-21","Day_in_Exp_T2",20,1.10142242734925,"15",2021-08-21,0.91292562407856,-0.0140704689381586,-0.00665566458531399
"25",25,"00186D163D","201","WEIGHT_1",2.8,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.11978947957784,"20",2021-07-29,0.957618298834852,0.0354130490077429,0.0162929550420512
"26",26,"00186D163D","201","WEIGHT_2",5,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.1390144335909,"20",2021-08-30,0.958649990167346,-0.0174714770326301,-0.0083046221768742
"27",27,"00186D163D","201","WEIGHT_3",5.7,"LENGTH_3",80,"T3","2021-09-29","Day_in_Exp_T3",62,1.11328125,"20",2021-09-29,0.932915364767052,0.0104820821766067,0.0051365924772458
"28",28,"00186D163D","201","WEIGHT_4",12,"LENGTH_4",100,"T4","2021-11-04","Day_in_Exp_T4",98,1.2,"20",2021-11-04,0.986691179936485,0.00287370229501704,0.00181020026925965
"33",33,"00186D163E","152","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,-0.0140115960058526,-0.00694873216619831
"34",34,"00186D163E","152","WEIGHT_2",4,"LENGTH_2",69,"T2","2021-08-24","Day_in_Exp_T2",20,1.21762265265183,"15",2021-08-24,1.03326221091977,0.0966460273681724,0.0423715340352432
"41",41,"00186D163F","151","WEIGHT_1",3.9,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.18718208633553,"15",2021-07-29,1.00743065564678,0.0702498356905701,0.031068914768671
"42",42,"00186D163F","151","WEIGHT_2",12.4,"LENGTH_2",103,"T2","2021-08-30","Day_in_Exp_T2",20,1.13477565759792,"15",2021-08-30,0.930719572443127,0.00546478920952853,0.00237585704999592
"43",43,"00186D163F","151","WEIGHT_3",31,"LENGTH_3",140,"T3","2021-09-29","Day_in_Exp_T3",62,1.12973760932945,"15",2021-09-29,0.902727564625496,-0.0257885539674879,-0.0126179471007899
"44",44,"00186D163F","151","WEIGHT_4",73,"LENGTH_4",180,"T4","2021-11-04","Day_in_Exp_T4",98,1.2517146776406,"15",2021-11-04,0.979055207834977,0.0458176701424486,0.0204694329589492
"45",45,"00186D163F","151","WEIGHT_5",129.1,"LENGTH_5",219,"T5","2021-12-09","Day_in_Exp_T5",133,1.2291189026396,"15",2021-12-09,0.945488275992804,0.00987406920001721,0.00452873499132569
"46",46,"00186D163F","151","WEIGHT_6",167.8,"LENGTH_6",245,"T6","2022-01-06","Day_in_Exp_T6",161,1.14102117315064,"15",2022-01-06,0.869389891375253,-0.0562835121946527,-0.0236510220924831
"49",49,"00186D1640","202","WEIGHT_1",2.7,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.02996826171875,"20",2021-07-29,0.879626985681651,-0.0342902000827346,-0.0162831338996013
"50",50,"00186D1640","202","WEIGHT_2",9.7,"LENGTH_2",95,"T2","2021-08-30","Day_in_Exp_T2",20,1.13136025659717,"20",2021-08-30,0.934317346355783,-0.0335160567814695,-0.0151524794589303
"51",51,"00186D1640","202","WEIGHT_3",16.6,"LENGTH_3",115,"T3","2021-09-29","Day_in_Exp_T3",62,1.0914769458371,"20",2021-09-29,0.886860374048089,-0.0272848444796326,-0.0125325998583645
"52",52,"00186D1640","202","WEIGHT_4",44.2,"LENGTH_4",151,"T4","2021-11-04","Day_in_Exp_T4",98,1.28378242966571,"20",2021-11-04,1.01924452426441,0.0437151106856634,0.0202251440888711
"53",53,"00186D1640","202","WEIGHT_5",87.7,"LENGTH_5",190,"T5","2021-12-09","Day_in_Exp_T5",133,1.2786120425718,"20",2021-12-09,0.995507954191903,0.0355583928721164,0.0165931477745384
"54",54,"00186D1640","202","WEIGHT_6",114.9,"LENGTH_6",209,"T6","2022-01-06","Day_in_Exp_T6",161,1.25858099757386,"20",2022-01-06,0.972005530637112,0.0228227340651482,0.0114835636105199
"57",57,"00186D1641","202","WEIGHT_1",3.9,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.13702623906706,"20",2021-07-29,0.963689558765019,0.066848406276266,0.0318613594373564
"58",58,"00186D1641","202","WEIGHT_2",8,"LENGTH_2",89,"T2","2021-08-30","Day_in_Exp_T2",20,1.13480167213026,"20",2021-08-30,0.942370790779488,-0.00838657908213181,-0.00291919074355613
"59",59,"00186D1641","202","WEIGHT_3",8.7,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.0474557660634,"20",2021-09-29,0.86580447118158,-0.031264714070509,-0.0144621419708435
"60",60,"00186D1641","202","WEIGHT_4",18,"LENGTH_4",118,"T4","2021-11-04","Day_in_Exp_T4",98,1.09553557082272,"20",2021-11-04,0.888211746894343,-0.07024163340877,-0.031030846123748
"65",65,"00186D1642","202","WEIGHT_1",2.7,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.07979699816435,"20",2021-07-29,0.923417645305036,-0.000808002963212706,-7.69877982071052e-05
"66",66,"00186D1642","202","WEIGHT_2",5.3,"LENGTH_2",76,"T2","2021-08-28","Day_in_Exp_T2",20,1.20735529960636,"20",2021-08-28,1.01616898957739,0.0380271239362712,0.0164255674308697
"73",73,"00186D1643","152","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"15",2021-07-29,0.874633431163152,-0.0404393702752391,-0.0195890186831267
"74",74,"00186D1643","152","WEIGHT_2",5.7,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.07255556120059,"15",2021-08-30,0.897839219620158,-0.00530754509562503,-0.00251326220332273
"75",75,"00186D1643","152","WEIGHT_3",13.3,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.14890400604686,"15",2021-09-29,0.940768252961414,0.0343601528862447,0.0160391577302318
"76",76,"00186D1643","152","WEIGHT_4",25.2,"LENGTH_4",130,"T4","2021-11-04","Day_in_Exp_T4",98,1.14701866181156,"15",2021-11-04,0.922327799903285,0.0111982807285713,0.0052787052587483
"77",77,"00186D1643","152","WEIGHT_5",49.6,"LENGTH_5",162,"T5","2021-12-09","Day_in_Exp_T5",133,1.16663938235853,"15",2021-12-09,0.920720592700433,0.00721440442546184,0.00373159889445464
"78",78,"00186D1643","152","WEIGHT_6",73.9,"LENGTH_6",187,"T6","2022-01-06","Day_in_Exp_T6",161,1.13010713996797,"15",2022-01-06,0.881075413196386,-0.0224899718557047,-0.00712137082925238
"81",81,"00186D1644","152","WEIGHT_1",1.6,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,0.96168294515402,"15",2021-07-29,0.831957393405202,-0.0800731210047476,-0.039580037272501
"82",82,"00186D1644","152","WEIGHT_2",3.8,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.06171646023732,"15",2021-08-30,0.898776256359508,-0.00132822132783417,-0.000326274583607962
"83",83,"00186D1644","152","WEIGHT_3",9.5,"LENGTH_3",97,"T3","2021-09-29","Day_in_Exp_T3",62,1.04089854745347,"15",2021-09-29,0.858089929369472,-0.0452758836772554,-0.0221767212955038
"84",84,"00186D1644","152","WEIGHT_4",21.9,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.12128,"15",2021-11-04,0.904641953659478,-0.00344527848679388,-0.0013958997128312
"85",85,"00186D1644","152","WEIGHT_5",41.3,"LENGTH_5",154,"T5","2021-12-09","Day_in_Exp_T5",133,1.13080544013248,"15",2021-12-09,0.896290158693011,-0.0141737425535191,-0.00621366062270533
"86",86,"00186D1644","152","WEIGHT_6",63.4,"LENGTH_6",175,"T6","2022-01-06","Day_in_Exp_T6",161,1.18297376093294,"15",2022-01-06,0.927506320251773,0.0269832222281237,0.0169163938586443
"88",88,"00186D1644","152","WEIGHT_8",145.6,"LENGTH_8",225,"T8","2022-03-30","Day_in_Exp_T8",244,1.27824417009602,"15",2022-03-30,0.981021005645519,0.0929320674471931,0.0443446024265161
"89",89,"00186D1645","202","WEIGHT_1",2.6,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,0.9918212890625,"20",2021-07-29,0.847048208434183,-0.0581879144107814,-0.028105963143539
"90",90,"00186D1645","202","WEIGHT_2",6.9,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.29835673197966,"20",2021-08-30,1.08685800269809,0.127705662480256,0.0550935030317729
"91",91,"00186D1645","202","WEIGHT_3",6.3,"LENGTH_3",86,"T3","2021-09-29","Day_in_Exp_T3",62,0.990478825763769,"20",2021-09-29,0.824921888554565,-0.0805422670537346,-0.0394074360961206
"92",92,"00186D1645","202","WEIGHT_4",9.1,"LENGTH_4",91,"T4","2021-11-04","Day_in_Exp_T4",98,1.20758362516604,"20",2021-11-04,1.00091845531505,0.0340701046557247,0.0169130410939584
"93",93,"00186D1645","202","WEIGHT_5",15.6,"LENGTH_5",110,"T5","2021-12-09","Day_in_Exp_T5",133,1.17205108940646,"20",2021-12-09,0.955934563648924,0.00466606524855928,0.00354416493354418
"94",94,"00186D1645","202","WEIGHT_6",15.2,"LENGTH_6",109,"T6","2022-01-06","Day_in_Exp_T6",161,1.17371888969282,"20",2022-01-06,0.958038234601713,0.0175365009491714,0.00976525631701643
"96",96,"00186D1645","202","WEIGHT_8",40.9,"LENGTH_8",155,"T8","2022-03-30","Day_in_Exp_T8",244,1.09831828404552,"20",2022-03-30,0.870061635211338,-0.0636871108736173,-0.0246837009049976
"97",97,"00186D1646","201","WEIGHT_1",2.9,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.05598543468366,"20",2021-07-29,0.900658791604299,-0.0236167190040626,-0.0110822413920653
"98",98,"00186D1646","201","WEIGHT_2",6.8,"LENGTH_2",82,"T2","2021-08-30","Day_in_Exp_T2",20,1.23329609262779,"20",2021-08-30,1.03131937821281,0.0531276502315839,0.0226854309638753
"99",99,"00186D1646","201","WEIGHT_3",10.2,"LENGTH_3",96,"T3","2021-09-29","Day_in_Exp_T3",62,1.15288628472222,"20",2021-09-29,0.951247257828837,0.0267437144571394,0.012844711697806
"100",100,"00186D1646","201","WEIGHT_4",18.1,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.1901043807019,"20",2021-11-04,0.966998359654844,-0.0188893787678766,-0.00768836121201604
"105",105,"00186D1647","202","WEIGHT_1",1.8,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,0.971958983330903,"20",2021-07-29,0.838298280519013,-0.0408450987734083,-0.0199353496664855
"106",106,"00186D1647","202","WEIGHT_2",3.5,"LENGTH_2",69,"T2","2021-08-30","Day_in_Exp_T2",20,1.06541982107035,"20",2021-08-30,0.904104434554799,-0.0289551621104887,-0.0121805386850959
"107",107,"00186D1647","202","WEIGHT_3",4.6,"LENGTH_3",76,"T3","2021-09-29","Day_in_Exp_T3",62,1.04789327890363,"20",2021-09-29,0.881957990953958,0.00258657889820102,0.00230780238594619
"108",108,"00186D1647","202","WEIGHT_4",7.3,"LENGTH_4",85,"T4","2021-11-04","Day_in_Exp_T4",98,1.18868308569102,"20",2021-11-04,0.990981334104705,0.0502257269979253,0.0252599847292105
"109",109,"00186D1647","202","WEIGHT_5",11.9,"LENGTH_5",104,"T5","2021-12-09","Day_in_Exp_T5",133,1.05790566681839,"20",2021-12-09,0.866960098407307,-0.0582156564405143,-0.0262047236980905
"110",110,"00186D1647","202","WEIGHT_6",17.2,"LENGTH_6",116,"T6","2022-01-06","Day_in_Exp_T6",161,1.10193119849112,"20",2022-01-06,0.894696112142905,-0.0197128779570936,-0.00726186898451729
"113",113,"00186D1648","202","WEIGHT_1",2.3,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.06481481481481,"20",2021-07-29,0.914389496216022,0.0197895558984434,0.0106748097217075
"114",114,"00186D1648","202","WEIGHT_2",3.9,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.13702623906706,"20",2021-08-30,0.963689558765019,0.0151734010745744,0.00841552162938903
"115",115,"00186D1648","202","WEIGHT_3",3.7,"LENGTH_3",73,"T3","2021-09-29","Day_in_Exp_T3",62,0.951115246891524,"20",2021-09-29,0.803249937802976,-0.0915780352779382,-0.0454118903561871
"116",116,"00186D1648","202","WEIGHT_4",10,"LENGTH_4",95,"T4","2021-11-04","Day_in_Exp_T4",98,1.16635077999708,"20",2021-11-04,0.963213759129673,0.00700159099773523,0.00579469427906328
"121",121,"00186D1649","151","WEIGHT_1",1.7,"LENGTH_1",54,"T1","2021-07-29","Day_in_Exp_T1",0,1.07961184778743,"15",2021-07-29,0.93543619972302,0.0241088189856681,0.0118880613975975
"122",122,"00186D1649","151","WEIGHT_2",4.7,"LENGTH_2",77,"T2","2021-08-30","Day_in_Exp_T2",20,1.02949841522957,"15",2021-08-30,0.865513748176825,-0.0338875958379196,-0.016148882711595
"123",123,"00186D1649","151","WEIGHT_3",10.5,"LENGTH_3",96,"T3","2021-09-29","Day_in_Exp_T3",62,1.18679470486111,"15",2021-09-29,0.979225118353215,0.0765624389790849,0.0357280306817483
"124",124,"00186D1649","151","WEIGHT_4",16,"LENGTH_4",116,"T4","2021-11-04","Day_in_Exp_T4",98,1.02505227766616,"15",2021-11-04,0.832275453156191,-0.0751086453174841,-0.0370505266203492
"125",125,"00186D1649","151","WEIGHT_5",26.4,"LENGTH_5",134,"T5","2021-12-09","Day_in_Exp_T5",133,1.0972094306813,"15",2021-12-09,0.880005981106044,-0.0297547864678886,-0.0136216526723532
"126",126,"00186D1649","151","WEIGHT_6",39.9,"LENGTH_6",149,"T6","2022-01-06","Day_in_Exp_T6",161,1.20618546416526,"15",2022-01-06,0.958723245715805,0.0589032813647536,0.0318477857208777
"128",128,"00186D1649","151","WEIGHT_8",86.7,"LENGTH_8",200,"T8","2022-03-30","Day_in_Exp_T8",244,1.08375,"15",2022-03-30,0.84012045876072,-0.0472653457650077,-0.0224371314122556
"129",129,"00186D164A","201","WEIGHT_1",2.8,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.068115234375,"20",2021-07-29,0.91220576292912,0.0094222063814251,0.00479969270878768
"130",130,"00186D164A","201","WEIGHT_2",7.3,"LENGTH_2",87,"T2","2021-08-30","Day_in_Exp_T2",20,1.10857505584637,"20",2021-08-30,0.922371691984813,-0.0343280819357479,-0.0154523661919049
"131",131,"00186D164A","201","WEIGHT_3",12.9,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.1143505021056,"20",2021-09-29,0.912474470917461,0.00946288160643072,0.00512143168611943
"132",132,"00186D164A","201","WEIGHT_4",23.1,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.18272,"20",2021-11-04,0.954211375777806,-0.0101844085842477,-0.00312009367334586
"137",137,"00186D164B","201","WEIGHT_1",2.9,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.05598543468366,"20",2021-07-29,0.900658791604299,-0.0199974851066664,-0.0094020239855724
"138",138,"00186D164B","201","WEIGHT_2",8,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,1.17392937640871,"20",2021-08-30,0.975800291266284,0.00122779718245214,0.000333413676571059
"139",139,"00186D164B","201","WEIGHT_3",13.3,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.14890400604686,"20",2021-09-29,0.940768252961414,0.019883943487112,0.00971416460577678
"140",140,"00186D164B","201","WEIGHT_4",24.4,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.24928,"20",2021-11-04,1.00791158307266,0.0256430785473359,0.0119885550250597
"145",145,"00186D164C","151","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,0.0197028404509707,0.0093405531595517
"146",146,"00186D164C","151","WEIGHT_2",6.2,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.00956645634032,"15",2021-08-30,0.841655379650572,-0.0612463674442025,-0.0304154233728756
"147",147,"00186D164C","151","WEIGHT_3",17.2,"LENGTH_3",116,"T3","2021-09-29","Day_in_Exp_T3",62,1.10193119849112,"15",2021-09-29,0.894696112142905,-0.0114669703112548,-0.00560583787094623
"148",148,"00186D164C","151","WEIGHT_4",41.2,"LENGTH_4",151,"T4","2021-11-04","Day_in_Exp_T4",98,1.19664787561601,"15",2021-11-04,0.950065031667277,0.039180530113572,0.0183088475701459
"149",149,"00186D164C","151","WEIGHT_5",81.5,"LENGTH_5",191,"T5","2021-12-09","Day_in_Exp_T5",133,1.16965426024678,"15",2021-12-09,0.910268828282953,-0.00299234237100987,-0.00106447935834612
"150",150,"00186D164C","151","WEIGHT_6",114.6,"LENGTH_6",216,"T6","2022-01-06","Day_in_Exp_T6",161,1.13716468526139,"15",2022-01-06,0.875779540731709,-0.0275408266993725,-0.00957755013558632
"152",152,"00186D164C","151","WEIGHT_8",250.5,"LENGTH_8",274,"T8","2022-03-30","Day_in_Exp_T8",244,1.21774412148001,"15",2022-03-30,0.919067150859785,0.0281809432540272,0.0144416780849533
"153",153,"00186D164D","152","WEIGHT_1",2.2,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.12755750543278,"15",2021-07-29,0.971062807664894,0.0314150857281824,0.0136972629893563
"154",154,"00186D164D","152","WEIGHT_2",5.6,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.09375,"15",2021-08-30,0.916548428543069,-0.0111732566710356,-0.00569138311852142
"155",155,"00186D164D","152","WEIGHT_3",14.5,"LENGTH_3",107,"T3","2021-09-29","Day_in_Exp_T3",62,1.18363192149174,"15",2021-09-29,0.967651664671061,0.0366686440975711,0.016140586850612
"156",156,"00186D164D","152","WEIGHT_4",28.3,"LENGTH_4",132,"T4","2021-11-04","Day_in_Exp_T4",98,1.23045190193951,"15",2021-11-04,0.988134033839091,0.052429594166057,0.0230742984786431
"157",157,"00186D164D","152","WEIGHT_5",48.5,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.18408203125,"15",2021-12-09,0.935473721322602,-0.00260738745069,-0.0014996312423869
"158",158,"00186D164D","152","WEIGHT_6",66.1,"LENGTH_6",180,"T6","2022-01-06","Day_in_Exp_T6",161,1.13340192043896,"15",2022-01-06,0.886514373121808,-0.0416259324286032,-0.016583637436434
"160",160,"00186D164D","152","WEIGHT_8",164.3,"LENGTH_8",240,"T8","2022-03-30","Day_in_Exp_T8",244,1.18851273148148,"15",2022-03-30,0.907164157613959,-0.00854198811112894,-0.00351675627469665
"161",161,"00186D164E","151","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,-0.0613984075632134,-0.0288157188916799
"162",162,"00186D164E","151","WEIGHT_2",5.8,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.1328125,"15",2021-08-30,0.949282300991035,-0.0347206941179229,-0.0163106154009767
"163",163,"00186D164E","151","WEIGHT_3",17.1,"LENGTH_3",111,"T3","2021-09-29","Day_in_Exp_T3",62,1.25033726202463,"15",2021-09-29,1.01900125958077,0.0317369291124225,0.0127370607706324
"164",164,"00186D164E","151","WEIGHT_4",39.7,"LENGTH_4",141,"T4","2021-11-04","Day_in_Exp_T4",98,1.41622797489031,"15",2021-11-04,1.13096598751553,0.138980237947642,0.0558487861064755
"165",165,"00186D164E","151","WEIGHT_5",75.7,"LENGTH_5",178,"T5","2021-12-09","Day_in_Exp_T5",133,1.34225760281658,"15",2021-12-09,1.0508728511664,0.0565104324982498,0.02315975018682
"166",166,"00186D164E","151","WEIGHT_6",113.8,"LENGTH_6",207,"T6","2022-01-06","Day_in_Exp_T6",161,1.28301349881276,"15",2022-01-06,0.991685004749911,0.00726338930464576,0.00624512880689402
"168",168,"00186D164E","151","WEIGHT_8",268.6,"LENGTH_8",268,"T8","2022-03-30","Day_in_Exp_T8",244,1.39540934223957,"15",2022-03-30,1.05514019788318,0.0831527422632385,0.036248330885237
"169",169,"00186D164F","151","WEIGHT_1",1.8,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.02496355685131,"15",2021-07-29,0.885344801938439,0.00505593838576579,0.0038120442121482
"170",170,"00186D164F","151","WEIGHT_2",4.6,"LENGTH_2",77,"T2","2021-08-30","Day_in_Exp_T2",20,1.00759419362894,"15",2021-08-30,0.847098562045403,-0.021264264784663,-0.00966319561594967
"171",171,"00186D164F","151","WEIGHT_3",11.6,"LENGTH_3",103,"T3","2021-09-29","Day_in_Exp_T3",62,1.06156432484966,"15",2021-09-29,0.870673148414538,-0.000951013774913356,0.000526349900129737
"172",172,"00186D164F","151","WEIGHT_4",16.6,"LENGTH_4",116,"T4","2021-11-04","Day_in_Exp_T4",98,1.06349173807864,"15",2021-11-04,0.863485782649548,-0.0128597986394483,-0.00523670788643001
"173",173,"00186D164F","151","WEIGHT_5",29.1,"LENGTH_5",141,"T5","2021-12-09","Day_in_Exp_T5",133,1.03809153826973,"15",2021-12-09,0.828995220068059,-0.0497270303211955,-0.0237295367929036
"174",174,"00186D164F","151","WEIGHT_6",46.5,"LENGTH_6",164,"T6","2022-01-06","Day_in_Exp_T6",161,1.05419610858809,"15",2022-01-06,0.83111224639322,-0.0376692007731526,-0.0143600769014102
"177",177,"00186D1650","151","WEIGHT_1",1.5,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.00754313963876,"15",2021-07-29,0.874379971917597,-0.0137785717152037,-0.00582129166000843
"178",178,"00186D1650","151","WEIGHT_2",2.7,"LENGTH_2",65,"T2","2021-08-30","Day_in_Exp_T2",20,0.983158852981338,"15",2021-08-30,0.838544392183313,-0.0376881147268805,-0.018292176644865
"179",179,"00186D1650","151","WEIGHT_3",7.7,"LENGTH_3",89,"T3","2021-09-29","Day_in_Exp_T3",62,1.09224660942538,"15",2021-09-29,0.907031886125257,0.027538043855678,0.0140726581413677
"180",180,"00186D1650","151","WEIGHT_4",15.2,"LENGTH_4",111,"T4","2021-11-04","Day_in_Exp_T4",98,1.11141089957744,"15",2021-11-04,0.905778897405126,0.0215636360360019,0.011309203806267
"181",181,"00186D1650","151","WEIGHT_5",33.5,"LENGTH_5",145,"T5","2021-12-09","Day_in_Exp_T5",133,1.09885604165812,"15",2021-12-09,0.875436238426437,-0.011155692042945,-0.00427813851524197
"182",182,"00186D1650","151","WEIGHT_6",54.3,"LENGTH_6",172,"T6","2022-01-06","Day_in_Exp_T6",161,1.06712302061454,"15",2022-01-06,0.837904592716775,-0.0387465345297257,-0.0150462831053833
"184",184,"00186D1650","151","WEIGHT_8",148.9,"LENGTH_8",240,"T8","2022-03-30","Day_in_Exp_T8",244,1.07711226851852,"15",2022-03-30,0.822134772177227,-0.0420821952439497,-0.0202310572636493
"185",185,"00186D1651","202","WEIGHT_1",2.9,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.10626220703125,"20",2021-07-29,0.944784540176588,0.0383206551277577,0.0181855831537729
"186",186,"00186D1651","202","WEIGHT_2",7,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.1398330958681,"20",2021-08-30,0.950256073799033,-0.0101240286226645,-0.0043717539100107
"187",187,"00186D1651","202","WEIGHT_3",14.9,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.11945905334335,"20",2021-09-29,0.913040063998011,0.00634814618584445,0.00353646760502756
"188",188,"00186D1651","202","WEIGHT_4",28.2,"LENGTH_4",135,"T4","2021-11-04","Day_in_Exp_T4",98,1.14616674287456,"20",2021-11-04,0.918690938025516,-0.0493851748376738,-0.0214493270351206
"193",193,"00186D1652","201","WEIGHT_1",1.5,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.00754313963876,"20",2021-07-29,0.874379971917597,-0.0188172322340436,-0.00793513328800812
"194",194,"00186D1652","201","WEIGHT_2",2.8,"LENGTH_2",64,"T2","2021-08-30","Day_in_Exp_T2",20,1.068115234375,"20",2021-08-30,0.91220576292912,-0.0349076585953876,-0.0146077361141112
