"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"74",74,"00186D1643","152","WEIGHT_2",5.7,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.07255556120059,"15",2021-08-30,0.897839219620158,-0.00530754509562503
"75",75,"00186D1643","152","WEIGHT_3",13.3,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.14890400604686,"15",2021-09-29,0.940768252961414,0.0343601528862447
"76",76,"00186D1643","152","WEIGHT_4",25.2,"LENGTH_4",130,"T4","2021-11-04","Day_in_Exp_T4",98,1.14701866181156,"15",2021-11-04,0.922327799903285,0.0111982807285713
"77",77,"00186D1643","152","WEIGHT_5",49.6,"LENGTH_5",162,"T5","2021-12-09","Day_in_Exp_T5",133,1.16663938235853,"15",2021-12-09,0.920720592700433,0.00721440442546184
"78",78,"00186D1643","152","WEIGHT_6",73.9,"LENGTH_6",187,"T6","2022-01-06","Day_in_Exp_T6",161,1.13010713996797,"15",2022-01-06,0.881075413196386,-0.0224899718557047
"81",81,"00186D1644","152","WEIGHT_1",1.6,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,0.96168294515402,"15",2021-07-29,0.831957393405202,-0.0800731210047476
"82",82,"00186D1644","152","WEIGHT_2",3.8,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.06171646023732,"15",2021-08-30,0.898776256359508,-0.00132822132783417
"83",83,"00186D1644","152","WEIGHT_3",9.5,"LENGTH_3",97,"T3","2021-09-29","Day_in_Exp_T3",62,1.04089854745347,"15",2021-09-29,0.858089929369472,-0.0452758836772554
"84",84,"00186D1644","152","WEIGHT_4",21.9,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.12128,"15",2021-11-04,0.904641953659478,-0.00344527848679388
"85",85,"00186D1644","152","WEIGHT_5",41.3,"LENGTH_5",154,"T5","2021-12-09","Day_in_Exp_T5",133,1.13080544013248,"15",2021-12-09,0.896290158693011,-0.0141737425535191
"86",86,"00186D1644","152","WEIGHT_6",63.4,"LENGTH_6",175,"T6","2022-01-06","Day_in_Exp_T6",161,1.18297376093294,"15",2022-01-06,0.927506320251773,0.0269832222281237
"88",88,"00186D1644","152","WEIGHT_8",145.6,"LENGTH_8",225,"T8","2022-03-30","Day_in_Exp_T8",244,1.27824417009602,"15",2022-03-30,0.981021005645519,0.0929320674471931
"89",89,"00186D1645","202","WEIGHT_1",2.6,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,0.9918212890625,"20",2021-07-29,0.847048208434183,-0.0581879144107814
"90",90,"00186D1645","202","WEIGHT_2",6.9,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.29835673197966,"20",2021-08-30,1.08685800269809,0.127705662480256
"91",91,"00186D1645","202","WEIGHT_3",6.3,"LENGTH_3",86,"T3","2021-09-29","Day_in_Exp_T3",62,0.990478825763769,"20",2021-09-29,0.824921888554565,-0.0805422670537346
"92",92,"00186D1645","202","WEIGHT_4",9.1,"LENGTH_4",91,"T4","2021-11-04","Day_in_Exp_T4",98,1.20758362516604,"20",2021-11-04,1.00091845531505,0.0340701046557247
"93",93,"00186D1645","202","WEIGHT_5",15.6,"LENGTH_5",110,"T5","2021-12-09","Day_in_Exp_T5",133,1.17205108940646,"20",2021-12-09,0.955934563648924,0.00466606524855928
"94",94,"00186D1645","202","WEIGHT_6",15.2,"LENGTH_6",109,"T6","2022-01-06","Day_in_Exp_T6",161,1.17371888969282,"20",2022-01-06,0.958038234601713,0.0175365009491714
"96",96,"00186D1645","202","WEIGHT_8",40.9,"LENGTH_8",155,"T8","2022-03-30","Day_in_Exp_T8",244,1.09831828404552,"20",2022-03-30,0.870061635211338,-0.0636871108736173
"97",97,"00186D1646","201","WEIGHT_1",2.9,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.05598543468366,"20",2021-07-29,0.900658791604299,-0.0236167190040626
"98",98,"00186D1646","201","WEIGHT_2",6.8,"LENGTH_2",82,"T2","2021-08-30","Day_in_Exp_T2",20,1.23329609262779,"20",2021-08-30,1.03131937821281,0.0531276502315839
"99",99,"00186D1646","201","WEIGHT_3",10.2,"LENGTH_3",96,"T3","2021-09-29","Day_in_Exp_T3",62,1.15288628472222,"20",2021-09-29,0.951247257828837,0.0267437144571394
"100",100,"00186D1646","201","WEIGHT_4",18.1,"LENGTH_4",115,"T4","2021-11-04","Day_in_Exp_T4",98,1.1901043807019,"20",2021-11-04,0.966998359654844,-0.0188893787678766
"105",105,"00186D1647","202","WEIGHT_1",1.8,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,0.971958983330903,"20",2021-07-29,0.838298280519013,-0.0408450987734083
"106",106,"00186D1647","202","WEIGHT_2",3.5,"LENGTH_2",69,"T2","2021-08-30","Day_in_Exp_T2",20,1.06541982107035,"20",2021-08-30,0.904104434554799,-0.0289551621104887
"107",107,"00186D1647","202","WEIGHT_3",4.6,"LENGTH_3",76,"T3","2021-09-29","Day_in_Exp_T3",62,1.04789327890363,"20",2021-09-29,0.881957990953958,0.00258657889820102
"108",108,"00186D1647","202","WEIGHT_4",7.3,"LENGTH_4",85,"T4","2021-11-04","Day_in_Exp_T4",98,1.18868308569102,"20",2021-11-04,0.990981334104705,0.0502257269979253
"109",109,"00186D1647","202","WEIGHT_5",11.9,"LENGTH_5",104,"T5","2021-12-09","Day_in_Exp_T5",133,1.05790566681839,"20",2021-12-09,0.866960098407307,-0.0582156564405143
"110",110,"00186D1647","202","WEIGHT_6",17.2,"LENGTH_6",116,"T6","2022-01-06","Day_in_Exp_T6",161,1.10193119849112,"20",2022-01-06,0.894696112142905,-0.0197128779570936
"113",113,"00186D1648","202","WEIGHT_1",2.3,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.06481481481481,"20",2021-07-29,0.914389496216022,0.0197895558984434
"114",114,"00186D1648","202","WEIGHT_2",3.9,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.13702623906706,"20",2021-08-30,0.963689558765019,0.0151734010745744
"115",115,"00186D1648","202","WEIGHT_3",3.7,"LENGTH_3",73,"T3","2021-09-29","Day_in_Exp_T3",62,0.951115246891524,"20",2021-09-29,0.803249937802976,-0.0915780352779382
"116",116,"00186D1648","202","WEIGHT_4",10,"LENGTH_4",95,"T4","2021-11-04","Day_in_Exp_T4",98,1.16635077999708,"20",2021-11-04,0.963213759129673,0.00700159099773523
"121",121,"00186D1649","151","WEIGHT_1",1.7,"LENGTH_1",54,"T1","2021-07-29","Day_in_Exp_T1",0,1.07961184778743,"15",2021-07-29,0.93543619972302,0.0241088189856681
"122",122,"00186D1649","151","WEIGHT_2",4.7,"LENGTH_2",77,"T2","2021-08-30","Day_in_Exp_T2",20,1.02949841522957,"15",2021-08-30,0.865513748176825,-0.0338875958379196
"123",123,"00186D1649","151","WEIGHT_3",10.5,"LENGTH_3",96,"T3","2021-09-29","Day_in_Exp_T3",62,1.18679470486111,"15",2021-09-29,0.979225118353215,0.0765624389790849
"124",124,"00186D1649","151","WEIGHT_4",16,"LENGTH_4",116,"T4","2021-11-04","Day_in_Exp_T4",98,1.02505227766616,"15",2021-11-04,0.832275453156191,-0.0751086453174841
"125",125,"00186D1649","151","WEIGHT_5",26.4,"LENGTH_5",134,"T5","2021-12-09","Day_in_Exp_T5",133,1.0972094306813,"15",2021-12-09,0.880005981106044,-0.0297547864678886
"126",126,"00186D1649","151","WEIGHT_6",39.9,"LENGTH_6",149,"T6","2022-01-06","Day_in_Exp_T6",161,1.20618546416526,"15",2022-01-06,0.958723245715805,0.0589032813647536
"128",128,"00186D1649","151","WEIGHT_8",86.7,"LENGTH_8",200,"T8","2022-03-30","Day_in_Exp_T8",244,1.08375,"15",2022-03-30,0.84012045876072,-0.0472653457650077
