"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME","condition4","Days_in_Exp"
"674","00186D168F",152,"WEIGHT_2",3.6,"LENGTH_2",71,"T2",2021-08-21,"Day_in_Exp_T2",20
"675","00186D168F",152,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"676","00186D168F",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"677","00186D168F",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"678","00186D168F",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"679","00186D168F",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"680","00186D168F",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"681","00186D1690",151,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29,"Day_in_Exp_T1",0
"682","00186D1690",151,"WEIGHT_2",5.1,"LENGTH_2",77,"T2",2021-08-30,"Day_in_Exp_T2",20
"683","00186D1690",151,"WEIGHT_3",13.8,"LENGTH_3",107,"T3",2021-09-29,"Day_in_Exp_T3",62
"684","00186D1690",151,"WEIGHT_4",24.1,"LENGTH_4",130,"T4",2021-11-04,"Day_in_Exp_T4",98
"685","00186D1690",151,"WEIGHT_5",45.4,"LENGTH_5",160,"T5",2021-12-09,"Day_in_Exp_T5",133
"686","00186D1690",151,"WEIGHT_6",76.2,"LENGTH_6",188,"T6",2022-01-06,"Day_in_Exp_T6",161
"687","00186D1690",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"688","00186D1690",151,"WEIGHT_8",209.6,"LENGTH_8",255,"T8",2022-03-30,"Day_in_Exp_T8",244
"689","00186D1691",152,"WEIGHT_1",2.8,"LENGTH_1",63,"T1",2021-07-29,"Day_in_Exp_T1",0
"690","00186D1691",152,"WEIGHT_2",6.3,"LENGTH_2",84,"T2",2021-08-30,"Day_in_Exp_T2",20
"691","00186D1691",152,"WEIGHT_3",15.2,"LENGTH_3",112,"T3",2021-09-29,"Day_in_Exp_T3",62
"692","00186D1691",152,"WEIGHT_4",31.7,"LENGTH_4",141,"T4",2021-11-04,"Day_in_Exp_T4",98
"693","00186D1691",152,"WEIGHT_5",58,"LENGTH_5",171,"T5",2021-12-09,"Day_in_Exp_T5",133
"694","00186D1691",152,"WEIGHT_6",76.7,"LENGTH_6",190,"T6",2022-01-06,"Day_in_Exp_T6",161
"695","00186D1691",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"696","00186D1691",152,"WEIGHT_8",162.2,"LENGTH_8",248,"T8",2022-03-30,"Day_in_Exp_T8",244
"697","00186D1692",151,"WEIGHT_1",2.6,"LENGTH_1",60,"T1",2021-07-29,"Day_in_Exp_T1",0
"698","00186D1692",151,"WEIGHT_2",5.5,"LENGTH_2",78,"T2",2021-08-30,"Day_in_Exp_T2",20
"699","00186D1692",151,"WEIGHT_3",12.9,"LENGTH_3",105,"T3",2021-09-29,"Day_in_Exp_T3",62
"700","00186D1692",151,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"701","00186D1692",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"702","00186D1692",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"703","00186D1692",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"704","00186D1692",151,"WEIGHT_8",192.5,"LENGTH_8",251,"T8",2022-03-30,"Day_in_Exp_T8",244
"705","00186D1693",201,"WEIGHT_1",2.3,"LENGTH_1",60,"T1",2021-07-29,"Day_in_Exp_T1",0
"706","00186D1693",201,"WEIGHT_2",4.6,"LENGTH_2",76,"T2",2021-08-25,"Day_in_Exp_T2",20
"707","00186D1693",201,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"708","00186D1693",201,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"709","00186D1693",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"710","00186D1693",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"711","00186D1693",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"712","00186D1693",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"713","00186D1694",202,"WEIGHT_1",2.8,"LENGTH_1",63,"T1",2021-07-29,"Day_in_Exp_T1",0
"714","00186D1694",202,"WEIGHT_2",7.8,"LENGTH_2",88,"T2",2021-08-30,"Day_in_Exp_T2",20
"715","00186D1694",202,"WEIGHT_3",15.9,"LENGTH_3",112,"T3",2021-09-29,"Day_in_Exp_T3",62
"716","00186D1694",202,"WEIGHT_4",33.1,"LENGTH_4",140,"T4",2021-11-04,"Day_in_Exp_T4",98
"717","00186D1694",202,"WEIGHT_5",56.4,"LENGTH_5",164,"T5",2021-12-09,"Day_in_Exp_T5",133
"718","00186D1694",202,"WEIGHT_6",78.6,"LENGTH_6",181,"T6",2022-01-06,"Day_in_Exp_T6",161
"719","00186D1694",202,"WEIGHT_7",104.4,"LENGTH_7",199,"T7",2022-02-12,"Day_in_Exp_T7",190
"720","00186D1694",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"721","00186D1695",151,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29,"Day_in_Exp_T1",0
"722","00186D1695",151,"WEIGHT_2",4.4,"LENGTH_2",75,"T2",2021-08-30,"Day_in_Exp_T2",20
"723","00186D1695",151,"WEIGHT_3",9.4,"LENGTH_3",96,"T3",2021-09-29,"Day_in_Exp_T3",62
"724","00186D1695",151,"WEIGHT_4",15.5,"LENGTH_4",114,"T4",2021-11-04,"Day_in_Exp_T4",98
"725","00186D1695",151,"WEIGHT_5",26.6,"LENGTH_5",138,"T5",2021-12-09,"Day_in_Exp_T5",133
"726","00186D1695",151,"WEIGHT_6",46,"LENGTH_6",159,"T6",2022-01-06,"Day_in_Exp_T6",161
"727","00186D1695",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"728","00186D1695",151,"WEIGHT_8",124.9,"LENGTH_8",222,"T8",2022-03-30,"Day_in_Exp_T8",244
"729","00186D1696",201,"WEIGHT_1",1.6,"LENGTH_1",54,"T1",2021-07-29,"Day_in_Exp_T1",0
"730","00186D1696",201,"WEIGHT_2",3.9,"LENGTH_2",71,"T2",2021-08-30,"Day_in_Exp_T2",20
"731","00186D1696",201,"WEIGHT_3",5.3,"LENGTH_3",79,"T3",2021-09-29,"Day_in_Exp_T3",62
"732","00186D1696",201,"WEIGHT_4",9.9,"LENGTH_4",95,"T4",2021-11-04,"Day_in_Exp_T4",98
"733","00186D1696",201,"WEIGHT_5",16.3,"LENGTH_5",115,"T5",2021-12-09,"Day_in_Exp_T5",133
"734","00186D1696",201,"WEIGHT_6",25.4,"LENGTH_6",130,"T6",2022-01-06,"Day_in_Exp_T6",161
"735","00186D1696",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"736","00186D1696",201,"WEIGHT_8",42.8,"LENGTH_8",155,"T8",2022-03-30,"Day_in_Exp_T8",244
"737","00186D1697",151,"WEIGHT_1",2.8,"LENGTH_1",62,"T1",2021-07-29,"Day_in_Exp_T1",0
"738","00186D1697",151,"WEIGHT_2",6.6,"LENGTH_2",85,"T2",2021-08-30,"Day_in_Exp_T2",20
"739","00186D1697",151,"WEIGHT_3",17.6,"LENGTH_3",114,"T3",2021-09-29,"Day_in_Exp_T3",62
"740","00186D1697",151,"WEIGHT_4",37.8,"LENGTH_4",148,"T4",2021-11-04,"Day_in_Exp_T4",98
"741","00186D1697",151,"WEIGHT_5",70,"LENGTH_5",180,"T5",2021-12-09,"Day_in_Exp_T5",133
"742","00186D1697",151,"WEIGHT_6",103.3,"LENGTH_6",208,"T6",2022-01-06,"Day_in_Exp_T6",161
"743","00186D1697",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"744","00186D1697",151,"WEIGHT_8",231,"LENGTH_8",270,"T8",2022-03-30,"Day_in_Exp_T8",244
"745","00186D1698",152,"WEIGHT_1",1.6,"LENGTH_1",53,"T1",2021-07-29,"Day_in_Exp_T1",0
"746","00186D1698",152,"WEIGHT_2",3.7,"LENGTH_2",70,"T2",2021-08-30,"Day_in_Exp_T2",20
"747","00186D1698",152,"WEIGHT_3",12.1,"LENGTH_3",104,"T3",2021-09-29,"Day_in_Exp_T3",62
"748","00186D1698",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"749","00186D1698",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"750","00186D1698",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"751","00186D1698",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"752","00186D1698",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"753","00186D1699",152,"WEIGHT_1",2.1,"LENGTH_1",57,"T1",2021-07-29,"Day_in_Exp_T1",0
"754","00186D1699",152,"WEIGHT_2",4.3,"LENGTH_2",73,"T2",2021-08-30,"Day_in_Exp_T2",20
"755","00186D1699",152,"WEIGHT_3",11.2,"LENGTH_3",100,"T3",2021-09-29,"Day_in_Exp_T3",62
"756","00186D1699",152,"WEIGHT_4",25.6,"LENGTH_4",129,"T4",2021-11-04,"Day_in_Exp_T4",98
"757","00186D1699",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"758","00186D1699",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"759","00186D1699",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"760","00186D1699",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"761","00186D169A",152,"WEIGHT_1",1.6,"LENGTH_1",54,"T1",2021-07-29,"Day_in_Exp_T1",0
"762","00186D169A",152,"WEIGHT_2",4,"LENGTH_2",73,"T2",2021-08-30,"Day_in_Exp_T2",20
"763","00186D169A",152,"WEIGHT_3",11,"LENGTH_3",100,"T3",2021-09-29,"Day_in_Exp_T3",62
"764","00186D169A",152,"WEIGHT_4",25.2,"LENGTH_4",131,"T4",2021-11-04,"Day_in_Exp_T4",98
"765","00186D169A",152,"WEIGHT_5",41.9,"LENGTH_5",153,"T5",2021-12-09,"Day_in_Exp_T5",133
"766","00186D169A",152,"WEIGHT_6",62.7,"LENGTH_6",171,"T6",2022-01-06,"Day_in_Exp_T6",161
"767","00186D169A",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"768","00186D169A",152,"WEIGHT_8",164.7,"LENGTH_8",250,"T8",2022-03-30,"Day_in_Exp_T8",244
"769","00186D169B",151,"WEIGHT_1",1.8,"LENGTH_1",55,"T1",2021-07-29,"Day_in_Exp_T1",0
"770","00186D169B",151,"WEIGHT_2",5.5,"LENGTH_2",80,"T2",2021-08-30,"Day_in_Exp_T2",20
"771","00186D169B",151,"WEIGHT_3",14.3,"LENGTH_3",110,"T3",2021-09-29,"Day_in_Exp_T3",62
"772","00186D169B",151,"WEIGHT_4",26.1,"LENGTH_4",132,"T4",2021-11-04,"Day_in_Exp_T4",98
"773","00186D169B",151,"WEIGHT_5",60.9,"LENGTH_5",152,"T5",2021-12-09,"Day_in_Exp_T5",133
"774","00186D169B",151,"WEIGHT_6",81.2,"LENGTH_6",189,"T6",2022-01-06,"Day_in_Exp_T6",161
"775","00186D169B",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"776","00186D169B",151,"WEIGHT_8",232.5,"LENGTH_8",265,"T8",2022-03-30,"Day_in_Exp_T8",244
"777","00186D169C",152,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29,"Day_in_Exp_T1",0
"778","00186D169C",152,"WEIGHT_2",5,"LENGTH_2",76,"T2",2021-08-30,"Day_in_Exp_T2",20
"779","00186D169C",152,"WEIGHT_3",14.1,"LENGTH_3",107,"T3",2021-09-29,"Day_in_Exp_T3",62
"780","00186D169C",152,"WEIGHT_4",29.6,"LENGTH_4",135,"T4",2021-11-04,"Day_in_Exp_T4",98
"781","00186D169C",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"782","00186D169C",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"783","00186D169C",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"784","00186D169C",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"785","00186D169D",151,"WEIGHT_1",1.5,"LENGTH_1",51,"T1",2021-07-29,"Day_in_Exp_T1",0
"786","00186D169D",151,"WEIGHT_2",5,"LENGTH_2",76,"T2",2021-08-30,"Day_in_Exp_T2",20
"787","00186D169D",151,"WEIGHT_3",10.7,"LENGTH_3",96,"T3",2021-09-29,"Day_in_Exp_T3",62
"788","00186D169D",151,"WEIGHT_4",20.5,"LENGTH_4",121,"T4",2021-11-04,"Day_in_Exp_T4",98
"789","00186D169D",151,"WEIGHT_5",37.1,"LENGTH_5",147,"T5",2021-12-09,"Day_in_Exp_T5",133
"790","00186D169D",151,"WEIGHT_6",57.2,"LENGTH_6",117,"T6",2022-01-06,"Day_in_Exp_T6",161
"791","00186D169D",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"792","00186D169D",151,"WEIGHT_8",170,"LENGTH_8",245,"T8",2022-03-30,"Day_in_Exp_T8",244
"793","00186D169E",152,"WEIGHT_1",2.5,"LENGTH_1",61,"T1",2021-07-29,"Day_in_Exp_T1",0
"794","00186D169E",152,"WEIGHT_2",7.2,"LENGTH_2",85,"T2",2021-08-30,"Day_in_Exp_T2",20
"795","00186D169E",152,"WEIGHT_3",18.1,"LENGTH_3",118,"T3",2021-09-29,"Day_in_Exp_T3",62
"796","00186D169E",152,"WEIGHT_4",40.6,"LENGTH_4",154,"T4",2021-11-04,"Day_in_Exp_T4",98
"797","00186D169E",152,"WEIGHT_5",79.3,"LENGTH_5",190,"T5",2021-12-09,"Day_in_Exp_T5",133
"798","00186D169E",152,"WEIGHT_6",116.7,"LENGTH_6",216,"T6",2022-01-06,"Day_in_Exp_T6",161
"799","00186D169E",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"800","00186D169E",152,"WEIGHT_8",256.7,"LENGTH_8",275,"T8",2022-03-30,"Day_in_Exp_T8",244
"801","00186D169F",151,"WEIGHT_1",3,"LENGTH_1",65,"T1",2021-07-29,"Day_in_Exp_T1",0
"802","00186D169F",151,"WEIGHT_2",6.7,"LENGTH_2",87,"T2",2021-08-30,"Day_in_Exp_T2",20
"803","00186D169F",151,"WEIGHT_3",15.6,"LENGTH_3",114,"T3",2021-09-29,"Day_in_Exp_T3",62
"804","00186D169F",151,"WEIGHT_4",30.4,"LENGTH_4",139,"T4",2021-11-04,"Day_in_Exp_T4",98
"805","00186D169F",151,"WEIGHT_5",50.4,"LENGTH_5",166,"T5",2021-12-09,"Day_in_Exp_T5",133
"806","00186D169F",151,"WEIGHT_6",73,"LENGTH_6",187,"T6",2022-01-06,"Day_in_Exp_T6",161
"807","00186D169F",151,"WEIGHT_7",98.8,"LENGTH_7",203,"T7",2022-02-04,"Day_in_Exp_T7",190
"808","00186D169F",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"809","00186D16A0",201,"WEIGHT_1",2.4,"LENGTH_1",61,"T1",2021-07-29,"Day_in_Exp_T1",0
"810","00186D16A0",201,"WEIGHT_2",5.4,"LENGTH_2",76,"T2",2021-08-30,"Day_in_Exp_T2",20
"811","00186D16A0",201,"WEIGHT_3",10.3,"LENGTH_3",98,"T3",2021-09-29,"Day_in_Exp_T3",62
"812","00186D16A0",201,"WEIGHT_4",18.4,"LENGTH_4",117,"T4",2021-11-04,"Day_in_Exp_T4",98
"813","00186D16A0",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"814","00186D16A0",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"815","00186D16A0",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"816","00186D16A0",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"817","00186D16A1",202,"WEIGHT_1",3.3,"LENGTH_1",66,"T1",2021-07-29,"Day_in_Exp_T1",0
"818","00186D16A1",202,"WEIGHT_2",7,"LENGTH_2",84,"T2",2021-08-30,"Day_in_Exp_T2",20
"819","00186D16A1",202,"WEIGHT_3",5.4,"LENGTH_3",83,"T3",2021-09-29,"Day_in_Exp_T3",62
"820","00186D16A1",202,"WEIGHT_4",5.2,"LENGTH_4",82,"T4",2021-11-04,"Day_in_Exp_T4",98
"821","00186D16A1",202,"WEIGHT_5",10.6,"LENGTH_5",96,"T5",2021-12-09,"Day_in_Exp_T5",133
"822","00186D16A1",202,"WEIGHT_6",17.7,"LENGTH_6",116,"T6",2022-01-06,"Day_in_Exp_T6",161
"823","00186D16A1",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"824","00186D16A1",202,"WEIGHT_8",56.5,"LENGTH_8",268,"T8",2022-03-30,"Day_in_Exp_T8",244
"825","00186D16A2",151,"WEIGHT_1",2.4,"LENGTH_1",60,"T1",2021-07-29,"Day_in_Exp_T1",0
"826","00186D16A2",151,"WEIGHT_2",5.1,"LENGTH_2",79,"T2",2021-08-30,"Day_in_Exp_T2",20
"827","00186D16A2",151,"WEIGHT_3",15,"LENGTH_3",110,"T3",2021-09-29,"Day_in_Exp_T3",62
"828","00186D16A2",151,"WEIGHT_4",36.7,"LENGTH_4",145,"T4",2021-11-04,"Day_in_Exp_T4",98
"829","00186D16A2",151,"WEIGHT_5",69.7,"LENGTH_5",181,"T5",2021-12-09,"Day_in_Exp_T5",133
"830","00186D16A2",151,"WEIGHT_6",104.4,"LENGTH_6",209,"T6",2022-01-06,"Day_in_Exp_T6",161
"831","00186D16A2",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"832","00186D16A2",151,"WEIGHT_8",233.4,"LENGTH_8",275,"T8",2022-03-30,"Day_in_Exp_T8",244
"833","00186D16A3",152,"WEIGHT_1",2.1,"LENGTH_1",58,"T1",2021-07-29,"Day_in_Exp_T1",0
"834","00186D16A3",152,"WEIGHT_2",5.5,"LENGTH_2",80,"T2",2021-08-30,"Day_in_Exp_T2",20
"835","00186D16A3",152,"WEIGHT_3",13.7,"LENGTH_3",110,"T3",2021-09-29,"Day_in_Exp_T3",62
"836","00186D16A3",152,"WEIGHT_4",32.2,"LENGTH_4",144,"T4",2021-11-04,"Day_in_Exp_T4",98
"837","00186D16A3",152,"WEIGHT_5",64.1,"LENGTH_5",180,"T5",2021-12-09,"Day_in_Exp_T5",133
"838","00186D16A3",152,"WEIGHT_6",98.9,"LENGTH_6",208,"T6",2022-01-06,"Day_in_Exp_T6",161
"839","00186D16A3",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"840","00186D16A3",152,"WEIGHT_8",245.6,"LENGTH_8",275,"T8",2022-03-30,"Day_in_Exp_T8",244
"841","00186D16A4",151,"WEIGHT_1",4.2,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"842","00186D16A4",151,"WEIGHT_2",10.7,"LENGTH_2",98,"T2",2021-08-30,"Day_in_Exp_T2",20
"843","00186D16A4",151,"WEIGHT_3",27.2,"LENGTH_3",135,"T3",2021-09-29,"Day_in_Exp_T3",62
"844","00186D16A4",151,"WEIGHT_4",63.1,"LENGTH_4",172,"T4",2021-11-04,"Day_in_Exp_T4",98
"845","00186D16A4",151,"WEIGHT_5",114.6,"LENGTH_5",213,"T5",2021-12-09,"Day_in_Exp_T5",133
"846","00186D16A4",151,"WEIGHT_6",167,"LENGTH_6",244,"T6",2022-01-06,"Day_in_Exp_T6",161
"847","00186D16A4",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"848","00186D16A4",151,"WEIGHT_8",313.6,"LENGTH_8",300,"T8",2022-03-30,"Day_in_Exp_T8",244
"849","00186D16A5",202,"WEIGHT_1",1.5,"LENGTH_1",55,"T1",2021-07-29,"Day_in_Exp_T1",0
"850","00186D16A5",202,"WEIGHT_2",2.8,"LENGTH_2",64,"T2",2021-08-30,"Day_in_Exp_T2",20
"851","00186D16A5",202,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"852","00186D16A5",202,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"853","00186D16A5",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"854","00186D16A5",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"855","00186D16A5",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"856","00186D16A5",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"857","00186D16A6",152,"WEIGHT_1",2.6,"LENGTH_1",62,"T1",2021-07-29,"Day_in_Exp_T1",0
"858","00186D16A6",152,"WEIGHT_2",4.5,"LENGTH_2",79,"T2",2021-08-30,"Day_in_Exp_T2",20
"859","00186D16A6",152,"WEIGHT_3",10.3,"LENGTH_3",100,"T3",2021-09-29,"Day_in_Exp_T3",62
"860","00186D16A6",152,"WEIGHT_4",21.5,"LENGTH_4",124,"T4",2021-11-04,"Day_in_Exp_T4",98
"861","00186D16A6",152,"WEIGHT_5",37.2,"LENGTH_5",149,"T5",2021-12-09,"Day_in_Exp_T5",133
"862","00186D16A6",152,"WEIGHT_6",52.7,"LENGTH_6",167,"T6",2022-01-06,"Day_in_Exp_T6",161
"863","00186D16A6",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"864","00186D16A6",152,"WEIGHT_8",124.5,"LENGTH_8",227,"T8",2022-03-30,"Day_in_Exp_T8",244
"865","00186D16A7",201,"WEIGHT_1",2.7,"LENGTH_1",63,"T1",2021-07-29,"Day_in_Exp_T1",0
"866","00186D16A7",201,"WEIGHT_2",7.3,"LENGTH_2",85,"T2",2021-08-30,"Day_in_Exp_T2",20
"867","00186D16A7",201,"WEIGHT_3",14.1,"LENGTH_3",108,"T3",2021-09-29,"Day_in_Exp_T3",62
"868","00186D16A7",201,"WEIGHT_4",30.2,"LENGTH_4",135,"T4",2021-11-04,"Day_in_Exp_T4",98
"869","00186D16A7",201,"WEIGHT_5",53.7,"LENGTH_5",161,"T5",2021-12-09,"Day_in_Exp_T5",133
"870","00186D16A7",201,"WEIGHT_6",61.7,"LENGTH_6",171,"T6",2022-01-06,"Day_in_Exp_T6",161
"871","00186D16A7",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"872","00186D16A7",201,"WEIGHT_8",119.2,"LENGTH_8",210,"T8",2022-03-30,"Day_in_Exp_T8",244
"873","00186D16A8",151,"WEIGHT_1",2.2,"LENGTH_1",60,"T1",2021-07-29,"Day_in_Exp_T1",0
"874","00186D16A8",151,"WEIGHT_2",5,"LENGTH_2",79,"T2",2021-08-30,"Day_in_Exp_T2",20
"875","00186D16A8",151,"WEIGHT_3",11.5,"LENGTH_3",101,"T3",2021-09-29,"Day_in_Exp_T3",62
"876","00186D16A8",151,"WEIGHT_4",18.2,"LENGTH_4",120,"T4",2021-11-04,"Day_in_Exp_T4",98
"877","00186D16A8",151,"WEIGHT_5",31.3,"LENGTH_5",145,"T5",2021-12-09,"Day_in_Exp_T5",133
"878","00186D16A8",151,"WEIGHT_6",58.2,"LENGTH_6",173,"T6",2022-01-06,"Day_in_Exp_T6",161
"879","00186D16A8",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"880","00186D16A8",151,"WEIGHT_8",131.4,"LENGTH_8",233,"T8",2022-03-30,"Day_in_Exp_T8",244
"881","00186D16A9",201,"WEIGHT_1",2,"LENGTH_1",58,"T1",2021-07-29,"Day_in_Exp_T1",0
"882","00186D16A9",201,"WEIGHT_2",3.6,"LENGTH_2",70,"T2",2021-08-30,"Day_in_Exp_T2",20
"883","00186D16A9",201,"WEIGHT_3",8,"LENGTH_3",90,"T3",2021-09-29,"Day_in_Exp_T3",62
"884","00186D16A9",201,"WEIGHT_4",17.4,"LENGTH_4",115,"T4",2021-11-04,"Day_in_Exp_T4",98
"885","00186D16A9",201,"WEIGHT_5",34.3,"LENGTH_5",140,"T5",2021-12-09,"Day_in_Exp_T5",133
"886","00186D16A9",201,"WEIGHT_6",43.1,"LENGTH_6",151,"T6",2022-01-06,"Day_in_Exp_T6",161
"887","00186D16A9",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"888","00186D16A9",201,"WEIGHT_8",76,"LENGTH_8",185,"T8",2022-03-30,"Day_in_Exp_T8",244
"889","00186D16AA",152,"WEIGHT_1",3.4,"LENGTH_1",69,"T1",2021-07-29,"Day_in_Exp_T1",0
"890","00186D16AA",152,"WEIGHT_2",10,"LENGTH_2",100,"T2",2021-08-30,"Day_in_Exp_T2",20
"891","00186D16AA",152,"WEIGHT_3",23.9,"LENGTH_3",133,"T3",2021-09-29,"Day_in_Exp_T3",62
"892","00186D16AA",152,"WEIGHT_4",48.9,"LENGTH_4",166,"T4",2021-11-04,"Day_in_Exp_T4",98
"893","00186D16AA",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"894","00186D16AA",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"895","00186D16AA",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"896","00186D16AA",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"897","00186D16AB",151,"WEIGHT_1",3.4,"LENGTH_1",66,"T1",2021-07-29,"Day_in_Exp_T1",0
"898","00186D16AB",151,"WEIGHT_2",9.7,"LENGTH_2",95,"T2",2021-08-30,"Day_in_Exp_T2",20
"899","00186D16AB",151,"WEIGHT_3",24.2,"LENGTH_3",129,"T3",2021-09-29,"Day_in_Exp_T3",62
"900","00186D16AB",151,"WEIGHT_4",54,"LENGTH_4",166,"T4",2021-11-04,"Day_in_Exp_T4",98
