"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME","condition4","Days_in_Exp"
"121","00186D1649",151,"WEIGHT_1",1.7,"LENGTH_1",54,"T1",2021-07-29,"Day_in_Exp_T1",0
"122","00186D1649",151,"WEIGHT_2",4.7,"LENGTH_2",77,"T2",2021-08-30,"Day_in_Exp_T2",20
"123","00186D1649",151,"WEIGHT_3",10.5,"LENGTH_3",96,"T3",2021-09-29,"Day_in_Exp_T3",62
"124","00186D1649",151,"WEIGHT_4",16,"LENGTH_4",116,"T4",2021-11-04,"Day_in_Exp_T4",98
"125","00186D1649",151,"WEIGHT_5",26.4,"LENGTH_5",134,"T5",2021-12-09,"Day_in_Exp_T5",133
"126","00186D1649",151,"WEIGHT_6",39.9,"LENGTH_6",149,"T6",2022-01-06,"Day_in_Exp_T6",161
"127","00186D1649",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"128","00186D1649",151,"WEIGHT_8",86.7,"LENGTH_8",200,"T8",2022-03-30,"Day_in_Exp_T8",244
"129","00186D164A",201,"WEIGHT_1",2.8,"LENGTH_1",64,"T1",2021-07-29,"Day_in_Exp_T1",0
"130","00186D164A",201,"WEIGHT_2",7.3,"LENGTH_2",87,"T2",2021-08-30,"Day_in_Exp_T2",20
"131","00186D164A",201,"WEIGHT_3",12.9,"LENGTH_3",105,"T3",2021-09-29,"Day_in_Exp_T3",62
"132","00186D164A",201,"WEIGHT_4",23.1,"LENGTH_4",125,"T4",2021-11-04,"Day_in_Exp_T4",98
"133","00186D164A",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"134","00186D164A",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"135","00186D164A",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"136","00186D164A",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"137","00186D164B",201,"WEIGHT_1",2.9,"LENGTH_1",65,"T1",2021-07-29,"Day_in_Exp_T1",0
"138","00186D164B",201,"WEIGHT_2",8,"LENGTH_2",88,"T2",2021-08-30,"Day_in_Exp_T2",20
"139","00186D164B",201,"WEIGHT_3",13.3,"LENGTH_3",105,"T3",2021-09-29,"Day_in_Exp_T3",62
